City,Mode,Output,Variable,Pearson_r,Spearman_r,SRC,PRCC,abs_Pearson_r,abs_Spearman_r,abs_SRC,abs_PRCC
Atlanta,Gas Truck,Total Cost,Stations,0.8611506960671361,0.8376691680473248,0.8603932054619349,0.1271232051305524,0.8611506960671361,0.8376691680473248,0.8603932054619349,0.1271232051305524
Atlanta,Gas Truck,Total Cost,Utilization,-0.8294988642770863,-0.8371449316274493,0.0064458772540103015,0.007582882625610538,0.8294988642770863,0.8371449316274493,0.0064458772540103015,0.007582882625610538
Atlanta,Gas Truck,Total Cost,Electricity Cost,0.3716905484351341,0.39424797523847976,0.3650785768108223,0.8814247467004518,0.3716905484351341,0.39424797523847976,0.3650785768108223,0.8814247467004518
Atlanta,Gas Truck,Total Cost,Station Capital Cost,0.3129787208394657,0.3032818089808181,0.2930211282489659,0.8056842269074889,0.3129787208394657,0.3032818089808181,0.2930211282489659,0.8056842269074889
Atlanta,Gas Truck,Total Cost,Fuel Price,0.10782127909238402,0.11057697610976976,0.10762268248828119,0.47386504291235926,0.10782127909238402,0.11057697610976976,0.10762268248828119,0.47386504291235926
Atlanta,Gas Truck,Total Cost,Compression Efficiency,-0.07660563868747468,-0.0773394190973942,-0.08307204103509706,-0.38035055291173236,0.07660563868747468,0.0773394190973942,0.08307204103509706,0.38035055291173236
Atlanta,Gas Truck,Total Cost,Fuel Economy,-0.07447122173372914,-0.07449522386495223,-0.05433730142654655,-0.2675173907366212,0.07447122173372914,0.07449522386495223,0.05433730142654655,0.2675173907366212
Atlanta,Gas Truck,Total Cost,Cab Cost,0.06834289025544911,0.06844310886043109,0.06157749402739345,0.3002323067898075,0.06834289025544911,0.06844310886043109,0.06157749402739345,0.3002323067898075
Atlanta,Gas Truck,Total Cost,Transmission Leakage Rate,0.02568357429603236,0.025174247267742474,0.031009188453203704,0.1508412262753945,0.02568357429603236,0.025174247267742474,0.031009188453203704,0.1508412262753945
Atlanta,Gas Truck,Total Cost,Electricity Carbon Intensity,0.02086850838598125,0.021018801378188012,0.0005002233550125682,0.011745638414820115,0.02086850838598125,0.021018801378188012,0.0005002233550125682,0.011745638414820115
Atlanta,Gas Truck,Total Cost,Pipeline Capital Cost,0.01712403794596259,0.01797458397574584,-0.0007455830804759952,0.0019911650802791826,0.01712403794596259,0.01797458397574584,0.0007455830804759952,0.0019911650802791826
Atlanta,Gas Truck,Total Cost,Liquefaction Efficiency,-0.012980604535867055,-0.009858573794585738,-0.0007422277631442196,0.005504108159619372,0.012980604535867055,0.009858573794585738,0.0007422277631442196,0.005504108159619372
Atlanta,Gas Truck,Total Cost,Liquefaction Capital Cost,-0.010600962726364786,-0.015296312372963123,-0.0011075438633151818,-0.003371497376008709,0.010600962726364786,0.015296312372963123,0.0011075438633151818,0.003371497376008709
Atlanta,Gas Truck,Total Cost,Compression Capital Cost,0.008192701570898785,0.009390737301907374,0.009703105204233791,0.05845921321538262,0.008192701570898785,0.009390737301907374,0.009703105204233791,0.05845921321538262
Atlanta,Gas Truck,Total Cost,Distribution Leakage Rate,0.004404972112467333,0.0036844097231978007,0.0020216033454399174,0.013279054136630962,0.004404972112467333,0.0036844097231978007,0.0020216033454399174,0.013279054136630962
Atlanta,Gas Truck,Total Cost,Station Leakage Rate,0.0042809137231759765,0.008379548531946317,0.010653749260349775,0.06568387680990512,0.0042809137231759765,0.008379548531946317,0.010653749260349775,0.06568387680990512
Atlanta,Gas Truck,Total Cost,Hydrogen Fuel Carbon Intensity,-0.004040911306603498,-0.0017736386577363865,0.001982544206839064,0.012530857663178014,0.004040911306603498,0.0017736386577363865,0.001982544206839064,0.012530857663178014
Atlanta,Gas Truck,Total Cost,Transmission Length,,,-4.371503159461554e-16,,,,4.371503159461554e-16,
Atlanta,Gas Truck,Total GHG Cost,Electricity Carbon Intensity,0.9965692804985175,0.9966533503385335,0.9968390976789067,0.9998902681074014,0.9965692804985175,0.9966533503385335,0.9968390976789067,0.9998902681074014
