Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Compression Efficiency,Transmission Length,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.21545672,63.9052248,9.51315928,0.04882824,100,0.01806119,0.02091328,192,9.2346035,226294.363,1.0483542,0.88857243,1.06037378,0.94260156,0.92978599,4.0183,3.5498,0.87389686,8.44199686,,0.21545672,63.9052248,0.00266414,0.00459927,0.00027358,192,9.2346035,226294.363,1.0483542,0.88857243,1.06037378,0.94260156,0.92978599,100,0.4305,3.2805,2.77380968,6.48480968
0.06018945,52.2117043,8.30563879,0.0122701,100,0.01303929,0.00595272,234,10.1446751,239985.478,0.87045555,0.85952423,0.98575082,0.80177319,1.06828988,1.9474,1.6372,0.89390379,4.47850379,,0.06018945,52.2117043,0.01044078,0.00346342,0.00039241,234,10.1446751,239985.478,0.87045555,0.85952423,0.98575082,0.80177319,1.06828988,100,0.431,3.577,2.24331577,6.25131577
0.06783685,76.4961576,14.9253964,0.0116745,100,0.02034364,0.03035554,160,11.0060737,333555.019,0.98555198,0.83469393,1.04886475,0.99656227,0.99954317,2.2282,1.8565,0.66368692,4.74838692,,0.06783685,76.4961576,0.04050191,0.00226676,0.00037086,160,11.0060737,333555.019,0.98555198,0.83469393,1.04886475,0.99656227,0.99954317,100,0.4345,3.0464,1.74209176,5.22299176
0.11775614,89.1056919,9.65166807,0.0132169,100,0.01993125,0.04614867,138,10.0479054,324201.167,1.06232939,0.89239881,0.96163878,0.95057414,0.91618807,2.8957,2.4513,0.56168517,5.90868517,,0.11775614,89.1056919,0.00603394,0.00634214,0.00024175,138,10.0479054,324201.167,1.06232939,0.89239881,0.96163878,0.95057414,0.91618807,100,0.431,2.8492,1.70174855,4.98194855
0.07445652,75.368371,11.4751153,0.02031945,100,0.02011381,0.046,163,10.4392787,319856.966,0.85006452,0.99418366,0.81131353,0.886462,0.87944591,2.1594,1.802,0.54568311,4.50708311,,0.07445652,75.368371,0.02573679,0.00266414,0.00021236,163,10.4392787,319856.966,0.85006452,0.99418366,0.81131353,0.886462,0.87944591,100,0.4353,3.066,1.48951279,4.99081279
0.07505523,70.6830597,7.84391928,0.01122428,100,0.01625932,0.0026143,173,8.26147268,341748.917,1.04327335,0.99087551,0.84228292,1.08041909,1.12790616,2.3381,1.9758,0.59531446,4.90921446,,0.07505523,70.6830597,0.01505189,0.00287795,0.00024832,173,8.26147268,341748.917,1.04327335,0.99087551,0.84228292,1.08041909,1.12790616,100,0.4339,3.1411,1.60981036,5.18481036
0.22771014,73.3905172,10.9411244,0.04160574,100,0.01656803,0.03877384,167,9.76526093,378986.824,1.15417209,0.80520079,1.10824261,1.10573337,0.96287801,4.3562,3.7868,0.80879821,8.95179821,,0.22771014,73.3905172,0.0148785,0.006397,0.00034893,167,9.76526093,378986.824,1.15417209,0.80520079,1.10824261,1.10573337,0.96287801,100,0.4306,3.094,2.68276064,6.20736064
0.09821647,67.1757412,8.24323225,0.01690931,100,0.01082873,0.03636712,182,8.53214219,318934.882,0.93045053,1.17846506,1.03215098,0.95290473,1.07280447,2.5077,2.1141,0.74971455,5.37151455,,0.09821647,67.1757412,0.03737202,0.0022194,0.00028259,182,8.53214219,318934.882,0.93045053,1.17846506,1.03215098,0.95290473,1.07280447,100,0.4401,3.2201,2.06324382,5.72344382
0.10445501,56.7515612,9.11004496,0.05160453,100,0.01381185,0.01199976,216,10.408227,247114.027,1.15585809,1.06879513,1.01150255,0.81382463,1.05923889,2.8328,2.4211,0.86863473,6.12253473,,0.10445501,56.7515612,0.03366817,0.00451308,0.00020117,216,10.408227,247114.027,1.15585809,1.06879513,1.01150255,0.81382463,1.05923889,100,0.4376,3.4656,2.35379056,6.25699056
0.18087941,70.5734825,7.15575933,0.04503945,100,0.02070547,0.00203109,174,7.9295306,260385.525,0.97110214,1.08844383,1.10641389,0.81751835,0.82688401,3.4772,3.0965,0.81272377,7.38642377,,0.18087941,70.5734825,0.01262658,0.0030197,0.000202,174,7.9295306,260385.525,0.97110214,1.08844383,1.10641389,0.81751835,0.82688401,100,0.4353,3.1486,2.50089926,6.08479926
0.12773007,54.3357801,8.15131044,0.01608425,100,0.0117506,0.02513032,225,10.8074224,387165.821,0.95255904,0.86765711,1.14802208,0.90494964,1.00019357,2.864,2.4548,1.01897946,6.33777946,,0.12773007,54.3357801,0.00893778,0.00332732,0.00035628,225,10.8074224,387165.821,0.95255904,0.86765711,1.14802208,0.90494964,1.00019357,100,0.4309,3.5159,2.79279191,6.73959191
0.15216207,68.9988422,11.2079654,0.05125129,100,0.01398187,0.01669599,177,8.69298117,258422.625,0.88629751,1.13260381,1.10469565,1.1303879,0.82903636,3.1034,2.709,0.8065871,6.6189871,,0.15216207,68.9988422,0.0031871,0.00206177,0.00037272,177,8.69298117,258422.625,0.88629751,1.13260381,1.10469565,1.1303879,0.82903636,100,0.4349,3.1682,2.39056701,5.99366701
0.15097465,57.097764,8.992167,0.03347935,100,0.01073003,0.03373238,214,8.4890069,223202.264,0.8749146,0.98486779,1.04355803,1.1768379,0.94592273,3.0573,2.6367,0.9095062,6.6035062,,0.15097465,57.097764,0.00671949,0.00244685,0.00031493,214,8.4890069,223202.264,0.8749146,0.98486779,1.04355803,1.1768379,0.94592273,100,0.4327,3.4396,2.62277573,6.49507573
0.06712977,51.0821915,10.7216277,0.03126932,100,0.02029229,0.01202681,240,10.5284387,252438.271,0.9146841,0.97000263,0.92482343,1.17303193,0.83729374,2.1073,1.7788,0.87399418,4.76009418,,0.06712977,51.0821915,0.04639873,0.0040832,0.00024163,240,10.5284387,252438.271,0.9146841,0.97000263,0.92482343,1.17303193,0.83729374,100,0.4376,3.6324,2.20578019,6.27578019
0.12474722,67.4374151,13.6926732,0.04035905,100,0.01892698,0.03572138,182,9.7879292,224791.229,0.98051753,1.02264884,0.96644535,1.19948452,0.99137266,2.8997,2.481,0.72737805,6.10807805,,0.12474722,67.4374151,0.04160504,0.00279599,0.00028814,182,9.7879292,224791.229,0.98051753,1.02264884,0.96644535,1.19948452,0.99137266,100,0.4379,3.2211,2.09474515,5.75374515
0.12976382,60.3367138,11.0888362,0.03262467,100,0.01307867,0.03362308,203,10.5553247,238269.866,0.95623751,0.87571352,1.01657748,0.9711096,0.98507903,2.9052,2.4874,0.83712571,6.22972571,,0.12976382,60.3367138,0.01906464,0.00400128,0.00035813,203,10.5553247,238269.866,0.95623751,0.87571352,1.01657748,0.9711096,0.98507903,100,0.4324,3.3666,2.37724819,6.17624819
0.12594414,78.5749483,13.8207002,0.02939607,100,0.01848994,0.03384582,156,9.81980209,241383.398,1.04766374,1.02111256,1.07134714,0.88390024,0.87250526,2.9744,2.5421,0.68972518,6.20622518,,0.12594414,78.5749483,0.04535512,0.00624124,0.00024416,156,9.81980209,241383.398,1.04766374,1.02111256,1.07134714,0.88390024,0.87250526,100,0.4384,3.0184,2.02841991,5.48521991
0.14843032,59.5334053,10.1469932,0.02887386,100,0.0146062,0.01362831,206,10.9034119,327575.123,1.01601143,0.80957534,1.17544122,0.91317074,0.93745568,3.1661,2.7531,0.96918258,6.88838258,,0.14843032,59.5334053,0.00418036,0.00393799,0.00024602,206,10.9034119,327575.123,1.01601143,0.80957534,1.17544122,0.91317074,0.93745568,100,0.4293,3.3819,2.75336668,6.56456668
0.08951843,63.9258909,12.8269315,0.02983542,100,0.0114297,0.01042153,192,10.7027774,286687.267,1.06910224,1.1770119,1.04300461,1.15086143,0.97254808,2.5524,2.1636,0.78781605,5.50381605,,0.08951843,63.9258909,0.04375871,0.00201629,0.00020534,192,10.7027774,286687.267,1.06910224,1.1770119,1.04300461,1.15086143,0.97254808,100,0.4409,3.2976,2.11648163,5.85498163
0.22384888,85.0760746,9.55381346,0.00631754,100,0.01672897,0.04558931,144,10.1597,257207.072,0.94788771,1.1849426,1.03635116,1.06940577,1.1473778,3.9563,3.4403,0.6779124,8.0745124,,0.22384888,85.0760746,0.0329182,0.00264497,0.00032543,144,10.1597,257207.072,0.94788771,1.1849426,1.03635116,1.06940577,1.1473778,100,0.4396,2.9121,2.35897109,5.71067109
0.09269846,56.4760828,10.4198632,0.0504631,100,0.01326002,0.01231614,217,10.0294211,373044.145,1.04578519,0.86249039,1.03998709,1.09966009,1.02824428,2.6055,2.2127,0.8864666,5.7046666,,0.09269846,56.4760828,0.00274253,0.00234703,0.00039501,217,10.0294211,373044.145,1.04578519,0.86249039,1.03998709,1.09966009,1.02824428,100,0.4301,3.4582,2.34855089,6.23685089
0.11956136,51.3763428,12.1623244,0.01321927,100,0.01440552,0.03456559,238,9.26529005,348589.051,1.0983263,0.93743541,1.06744695,1.01039574,1.01194012,2.9586,2.5076,1.00733193,6.47353193,,0.11956136,51.3763428,0.0348616,0.00532859,0.00028461,238,9.26529005,348589.051,1.0983263,0.93743541,1.06744695,1.01039574,1.01194012,100,0.4355,3.6146,2.72930886,6.77940886
0.17170678,78.1566763,12.940804,0.03507488,100,0.01638816,0.0031834,157,10.5885882,395803.154,0.88061786,0.94383223,1.13844204,0.87685382,0.93610265,3.2938,2.9126,0.75219706,6.95859706,,0.17170678,78.1566763,0.02973033,0.00247652,0.00023435,157,10.5885882,395803.154,0.88061786,0.94383223,1.13844204,0.87685382,0.93610265,100,0.4349,3.0184,2.33840906,5.79170906
0.20490064,85.2286434,13.3958659,0.02152424,100,0.01996452,0.04548873,144,8.0622596,317089.713,1.0501153,0.89368951,0.86382136,0.92586234,1.12862799,3.9348,3.4024,0.58467628,7.92187628,,0.20490064,85.2286434,0.04548949,0.00587487,0.00030188,144,8.0622596,317089.713,1.0501153,0.89368951,0.86382136,0.92586234,1.12862799,100,0.4362,2.9165,2.07239396,5.42509396
0.18097881,79.2191362,13.7388749,0.03044507,100,0.01125561,0.02194755,155,10.5372976,267696.226,1.17220864,1.00021222,0.87584505,1.04501588,0.85864761,3.7371,3.2425,0.60818003,7.58778003,,0.18097881,79.2191362,0.04825233,0.00429001,0.00038926,155,10.5372976,267696.226,1.17220864,1.00021222,0.87584505,1.04501588,0.85864761,100,0.4384,3.0104,2.04514706,5.49394706
0.06045939,70.1852226,10.6230903,0.05107802,100,0.0141204,0.02677175,174,9.49053791,331398.022,0.86612091,0.84010627,1.1412703,0.84341786,0.85156739,2.0278,1.6876,0.76574908,4.48114908,,0.06045939,70.1852226,0.03391071,0.00387454,0.00031746,174,9.49053791,331398.022,0.86612091,0.84010627,1.1412703,0.84341786,0.85156739,100,0.4337,3.1558,1.96343038,5.55293038
0.20488162,87.61024,7.54600954,0.01679521,100,0.01022862,0.01053775,140,8.02260756,303213.108,0.90861907,1.04244578,0.89474983,0.85148513,1.03066919,3.6421,3.2207,0.5807273,7.4435273,,0.20488162,87.61024,0.02380456,0.00273994,0.00026726,140,8.02260756,303213.108,0.90861907,1.04244578,0.89474983,0.85148513,1.03066919,100,0.4359,2.8731,2.07160598,5.38060598
0.18605876,80.931139,14.5329623,0.00634534,100,0.02073894,0.03616849,151,11.0347807,322898.257,0.83303747,1.09160268,1.03004279,1.14731524,1.14777491,3.3963,2.9628,0.68515066,7.04425066,,0.18605876,80.931139,0.03684834,0.003648,0.00035535,151,11.0347807,322898.257,0.83303747,1.09160268,1.03004279,1.14731524,1.14777491,100,0.4385,2.9728,2.23057014,5.64187014
0.16193265,88.3470774,14.851954,0.05076288,100,0.01923892,0.04587238,139,10.0534902,252976.358,0.86111379,0.93173897,1.08653822,0.99711607,0.86547306,3.2548,2.8058,0.64852111,6.70912111,,0.16193265,88.3470774,0.00595826,0.00227095,0.00036431,139,10.0534902,252976.358,0.86111379,0.93173897,1.08653822,0.99711607,0.86547306,100,0.4317,2.8567,2.06068672,5.34908672
0.18121719,67.6592636,14.5097594,0.02562882,100,0.01935291,0.03788301,181,10.6212454,345045.006,0.90513744,0.96036136,1.06859097,1.19719803,1.15340779,3.4788,3.0194,0.81926352,7.31746352,,0.18121719,67.6592636,0.01087409,0.00487036,0.00029524,181,10.6212454,345045.006,0.90513744,0.96036136,1.06859097,1.19719803,1.15340779,100,0.4328,3.2017,2.52189712,6.15639712
0.13151852,72.8920507,12.2792668,0.02087043,100,0.01217424,0.04509347,168,8.22270665,388116.348,1.07791057,1.09843848,0.83517017,0.9050288,0.9611305,3.1194,2.6343,0.602977,6.356677,,0.13151852,72.8920507,0.03571921,0.00564484,0.00026177,168,8.22270665,388116.348,1.07791057,1.09843848,0.83517017,0.9050288,0.9611305,100,0.4384,3.1117,1.84752806,5.39762806
0.19811913,70.4452801,10.0080714,0.04278769,100,0.01442771,0.0059289,174,9.96466572,382738.173,1.04802141,0.92458055,1.09732013,0.84685042,0.83001387,3.8016,3.361,0.81295324,7.97555324,,0.19811913,70.4452801,0.03989268,0.0039964,0.00029433,174,9.96466572,382738.173,1.04802141,0.92458055,1.09732013,0.84685042,0.83001387,100,0.436,3.1588,2.5791526,6.1739526
0.2131137,58.5278749,8.95831919,0.0154937,100,0.01801902,0.02205106,209,9.67868233,234646.261,0.87793031,0.9607816,0.96093378,0.88935907,0.80672843,3.7073,3.2832,0.87157955,7.86207955,,0.2131137,58.5278749,0.01613716,0.00396563,0.00027319,209,9.67868233,234646.261,0.87793031,0.9607816,0.96093378,0.88935907,0.80672843,100,0.4335,3.4087,2.75121637,6.59341637
0.22708379,83.6226845,11.9278007,0.01145662,100,0.01937697,0.03973873,147,8.56512725,211697.972,0.88236809,0.89722412,1.05233865,0.8629472,0.92078164,3.9196,3.4353,0.69912817,8.05402817,,0.22708379,83.6226845,0.01587623,0.0064856,0.00025926,147,8.56512725,211697.972,0.88236809,0.89722412,1.05233865,0.8629472,0.92078164,100,0.4323,2.9307,2.42468937,5.78768937
0.08799932,77.7325773,12.9022946,0.05333081,100,0.01274501,0.01303757,158,11.1473815,357837.093,0.94454703,1.04364626,0.96419525,0.82400825,0.9886194,2.4386,2.07,0.61483419,5.12343419,,0.08799932,77.7325773,0.03616517,0.00630451,0.00034124,158,11.1473815,357837.093,0.94454703,1.04364626,0.96419525,0.82400825,0.9886194,100,0.4376,3.0312,1.72038597,5.18918597
0.1045339,50.1577854,13.989162,0.04176438,100,0.0103282,0.00202336,244,8.75494196,307839.93,1.02768431,0.99477155,1.05920806,1.04380381,1.00679018,2.6993,2.3124,1.0110165,6.0227165,,0.1045339,50.1577854,0.0178486,0.00182711,0.00036795,244,8.75494196,307839.93,1.02768431,0.99477155,1.05920806,1.04380381,1.00679018,100,0.4343,3.6459,2.68110679,6.76130679
0.1534819,57.5544977,7.38218927,0.0263709,100,0.01195188,0.01477218,213,11.2041827,396592.653,1.11933789,1.19730103,1.16914892,0.91139333,1.09667156,3.3486,2.8997,0.99528284,7.24358284,,0.1534819,57.5544977,0.02076902,0.00332484,0.00038455,213,11.2041827,396592.653,1.11933789,1.19730103,1.16914892,0.91139333,1.09667156,100,0.4382,3.4397,2.83536752,6.71326752
