Liquid Truck,,,,,,,,,,,,,,,,,,,,Pipelines,,,,,,,,,,,,,,,,,
Electricity Cost,Utilization,Fuel Price,Liquid Leakage,Transmission Length,Liquid Station Leakage,Liquid Transmission Leakge,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Liquefaction Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost,,Electricity Cost,Utilization,Pipe Leakage,Pipe Station Leakage,Pipe Trans Leakage,Stations,Fuel Economy,Cab Cost,Liquifaction Cap Cost,Compressor/ Liquifaction Cost,Station Capital Cost,Pipeline Capital Cost,Transmission Length,Compression Efficiency,Transmission Cost,Distribution Cost,Station Cost,Final Cost
0.200410745,83.7056017,8.12512064,0.0276158,100,0.01408972,0.02015359,12,8.08097324,249993.36,1.18545709,0.83937314,0.92164354,1.01777666,1.00927246,4.8727,4.1474,0.61577196,9.63587196,,0.20041074,83.7056017,0.04396635,0.00481949,0.00027635,12,8.08097324,249993.36,1.18545709,0.83937314,0.92164354,1.01777666,100,1.00927246,2.3477,2.2092,2.13453779,6.69143779
0.118964658,51.4655113,8.30804205,0.03000153,100,0.01851331,0.04625602,20,8.64472072,388863.003,1.07211227,0.96978843,0.90925508,1.06836979,1.02786973,3.8097,3.1315,0.88216714,7.82336714,,0.11896466,51.4655113,0.01542702,0.00346703,0.00022674,20,8.64472072,388863.0033,1.07211227,0.96978843,0.90925508,1.06836979,100,1.02786973,2.3474,2.7704,2.41782977,7.53562977
0.181455578,56.099391,7.28064394,0.02081256,100,0.01645022,0.00481846,18,10.7051931,222393.787,1.03806624,0.92051051,0.8613369,0.94938018,0.82459238,4.3081,3.7029,0.81197368,8.82297368,,0.18145558,56.099391,0.02249584,0.00545072,0.00020121,18,10.7051931,222393.7869,1.03806624,0.92051051,0.8613369,0.94938018,100,0.82459238,2.347,2.6431,2.49814254,7.48824254
0.202577642,75.5988789,13.9354434,0.04066284,100,0.01022807,0.01441519,14,10.3548754,244834.673,0.88970022,0.95677068,0.92907004,0.96663973,1.12274668,4.3617,3.7413,0.67263835,8.77563835,,0.20257764,75.5988789,0.0375277,0.00261515,0.00020609,14,10.3548754,244834.6734,0.88970022,0.95677068,0.92907004,0.96663973,100,1.12274668,2.35,2.3656,2.27210742,6.98770742
0.191356651,53.2803202,12.4701333,0.01878018,100,0.0186268,0.00132005,19,8.50672388,262263.238,1.18742375,0.80671532,0.89989042,0.8422157,1.16578052,4.7302,4.0485,0.88699497,9.66569497,,0.19135665,53.2803202,0.0069808,0.00525287,0.00032141,19,8.50672388,262263.2384,1.18742375,0.80671532,0.89989042,0.8422157,100,1.16578052,2.342,2.7032,2.70197382,7.74717382
0.070168629,76.1246109,11.3836761,0.02464205,100,0.0152991,0.00793363,13,8.32258394,346394.265,0.92282314,0.82996051,0.89182477,1.0314029,0.88857243,2.9075,2.3627,0.57937258,5.84957258,,0.07016863,76.1246109,0.04442598,0.00428326,0.00039104,13,8.32258394,346394.2647,0.92282314,0.82996051,0.89182477,1.0314029,100,0.88857243,2.3476,2.2888,1.5627338,6.1991338
0.122234935,78.8982916,9.00364733,0.02215035,100,0.01951503,0.03360507,13,10.4767643,370419.586,0.90362239,0.86270926,1.01813908,1.12877834,0.96528318,3.4819,2.8966,0.65787459,7.03637459,,0.12223494,78.8982916,0.02579421,0.00590025,0.00035421,13,10.4767643,370419.5857,0.90362239,0.86270926,1.01813908,1.12877834,100,0.96528318,2.3459,2.2859,1.93763044,6.56943044
0.164781445,87.805891,11.2948298,0.0310328,100,0.01713711,0.03719214,12,8.27351773,370629.179,0.98395662,1.12693117,0.85979953,0.85081847,1.19626982,4.1745,3.4917,0.54524843,8.21144843,,0.16478144,87.805891,0.01245626,0.00293865,0.00038724,12,8.27351773,370629.1795,0.98395662,1.12693117,0.85979953,0.85081847,100,1.19626982,2.3512,2.2082,1.83227012,6.39167012
0.077549292,67.4235201,7.6990571,0.01265833,100,0.01948216,0.00795326,15,9.28717728,227563.512,0.97745805,0.89110463,0.88324594,1.18257883,0.99656227,3.0303,2.4947,0.6507302,6.1757302,,0.07754929,67.4235201,0.048978,0.00280937,0.00027412,15,9.28717728,227563.5123,0.97745805,0.89110463,0.88324594,1.18257883,100,0.99656227,2.3498,2.4406,1.74110659,6.53150659
0.108844677,84.6637154,12.7563071,0.00995411,100,0.02047605,0.02361546,12,9.04369972,210447.133,1.19065437,1.07002151,0.84097772,0.97593625,1.04840233,3.8171,3.1516,0.52396916,7.49266916,,0.10884468,84.6637154,0.00164535,0.00265328,0.00027478,12,9.04369972,210447.1326,1.19065437,1.07002151,0.84097772,0.97593625,100,1.04840233,2.3483,2.205,1.57083653,6.12413653
0.103815226,73.521533,11.2570462,0.03361159,100,0.01125775,0.03071171,14,9.71236453,378653.514,1.01417975,1.05115435,1.09245224,1.18689353,0.88034532,3.5039,2.874,0.72673915,7.10463915,,0.10381523,73.521533,0.01810242,0.00516391,0.00020974,14,9.71236453,378653.5144,1.01417975,1.05115435,1.09245224,1.18689353,100,0.88034532,2.3499,2.3639,2.04072444,6.75452444
0.07214043,54.3518925,14.6758227,0.04926913,100,0.01613874,0.02553166,19,11.0263794,283951.151,0.90929823,0.93508604,0.88279586,1.03944666,0.83542407,2.9271,2.3728,0.79093977,6.09083977,,0.07214043,54.3518925,0.04469679,0.00172882,0.00032999,19,11.0263794,283951.1514,0.90929823,0.93508604,0.88279586,1.03944666,100,0.83542407,2.3504,2.7124,2.03768677,7.10048677
0.134823629,71.4281702,14.6361108,0.03285865,100,0.01757426,0.0032793,14,10.301142,267280.9,0.82723966,0.87750199,0.9168273,0.90351446,0.99087551,3.4388,2.9132,0.66639532,7.01839532,,0.13482363,71.4281702,0.03537542,0.00433977,0.00039065,14,10.301142,267280.9005,0.82723966,0.87750199,0.9168273,0.90351446,100,0.99087551,2.3476,2.3641,1.99752,6.70922
0.142273074,82.5320435,13.156404,0.02380391,100,0.01455247,0.0352815,12,8.4689079,293814.576,0.99884815,0.92024486,0.8658936,1.17443078,0.89192975,3.9022,3.2424,0.56351296,7.70811296,,0.14227307,82.5320435,0.04822527,0.00252162,0.0003974,12,8.4689079,293814.5757,0.99884815,0.92024486,0.8658936,1.17443078,100,0.89192975,2.3505,2.2109,1.7921769,6.3535769
0.148359537,84.324584,7.42755938,0.01825779,100,0.01055776,0.01334101,12,9.69861474,320044.792,1.13204303,1.19893172,0.94501858,0.94149921,0.86216161,4.1587,3.4961,0.59286324,8.24766324,,0.14835954,84.324584,0.02600202,0.00593,0.00034427,12,9.69861474,320044.7917,1.13204303,1.19893172,0.94501858,0.94149921,100,0.86216161,2.3549,2.2126,1.89707863,6.46457863
0.077637995,87.2486019,8.87139082,0.00706615,100,0.01601467,0.0335778,12,9.81961281,236656.058,0.95459223,0.91463373,1.19786372,1.13311026,0.95290473,3.0115,2.4551,0.65991203,6.12651203,,0.07763799,87.2486019,0.04924098,0.0032677,0.00031157,12,9.81961281,236656.0578,0.95459223,0.91463373,1.19786372,1.13311026,100,0.95290473,2.3505,2.211,1.78540149,6.34690149
0.195420873,83.7122393,10.2305131,0.0256458,100,0.02086844,0.00335236,12,10.4180517,280927.122,1.13969827,0.95711834,1.02700167,0.92592103,0.89422805,4.6938,4.0396,0.669539,9.402939,,0.19542087,83.7122393,0.04979368,0.00536985,0.00034276,12,10.4180517,280927.1216,1.13969827,0.95711834,1.02700167,0.92592103,100,0.89422805,2.3517,2.2122,2.23381766,6.79771766
0.122890344,83.3038139,8.43943548,0.04546393,100,0.01670852,0.00711485,12,7.92467334,262414.563,0.95189667,1.167154,0.80700212,1.10559742,0.90997498,3.5523,2.9877,0.52034481,7.06034481,,0.12289034,83.3038139,0.042884,0.0055078,0.00036896,12,7.92467334,262414.5627,0.95189667,1.167154,0.80700212,1.10559742,100,0.90997498,2.3563,2.2146,1.62212898,6.19302898
0.131937203,58.7879133,9.02690554,0.04930673,100,0.01859133,0.03927373,17,9.86276107,395667.636,1.0507669,0.9253773,1.11783028,0.9666188,0.95936487,3.943,3.2697,0.93472179,8.14742179,,0.1319372,58.7879133,0.03702767,0.00316178,0.00029988,17,9.86276107,395667.6364,1.0507669,0.9253773,1.11783028,0.9666188,100,0.95936487,2.3491,2.5789,2.59955373,7.52755373
0.166913789,56.6327381,11.7995028,0.04502447,100,0.01746853,0.02742773,18,8.87499526,383724.368,1.18995581,1.05522268,0.83605781,1.0386452,0.86765711,4.604,3.8586,0.77962402,9.24222402,,0.16691379,56.6327381,0.01840866,0.00351232,0.00024985,18,8.87499526,383724.3676,1.18995581,1.05522268,0.83605781,1.0386452,100,0.86765711,2.3501,2.644,2.3626809,7.3567809
0.072988483,55.818696,11.5564828,0.03494066,100,0.01687689,0.00355477,18,9.19796495,246138.895,1.04901357,1.12741463,1.02138624,0.826947,1.10837772,3.1518,2.5768,0.87499004,6.60359004,,0.07298848,55.818696,0.02655648,0.0021004,0.00031786,18,9.19796495,246138.8946,1.04901357,1.12741463,1.02138624,0.826947,100,1.10837772,2.3531,2.6466,2.24023697,7.23993697
0.133289261,88.6782455,9.58587027,0.02061287,100,0.01329625,0.04800174,12,10.7030859,235290.062,0.93554211,1.15352237,0.83598294,0.85439713,0.89960835,3.6577,3.029,0.51036099,7.19706099,,0.13328926,88.6782455,0.00741793,0.00370636,0.00039015,12,10.7030859,235290.0624,0.93554211,1.15352237,0.83598294,0.85439713,100,0.89960835,2.3513,2.2078,1.64139456,6.20049456
0.209523811,67.5169897,9.69180346,0.03513244,100,0.01333162,0.03536876,15,9.47267461,234721.267,1.19515605,1.15607703,1.03412952,1.19252574,1.1768379,5.0543,4.2735,0.81021636,10.1380164,,0.20952381,67.5169897,0.02416717,0.00569754,0.00028429,15,9.47267461,234721.2672,1.19515605,1.15607703,1.03412952,1.19252574,100,1.1768379,2.3535,2.4405,2.61811351,7.41211351
0.07326371,50.7660198,14.5031276,0.0076509,100,0.01862581,0.00763174,20,10.1299291,283261.549,0.86675615,1.00275133,1.0596828,1.16913741,0.90487654,2.8035,2.2885,0.99121945,6.08321945,,0.07326371,50.7660198,0.04634778,0.00209471,0.00020333,20,10.1299291,283261.5495,0.86675615,1.00275133,1.0596828,1.16913741,100,0.90487654,2.3524,2.7772,2.50206558,7.63166558
0.157580172,52.4155092,7.81323862,0.0273204,100,0.01115871,0.00309698,19,8.59156532,318677.938,1.02061524,0.99210179,1.08884821,1.03999078,0.89133232,4.0526,3.4411,1.02297472,8.51667472,,0.15758017,52.4155092,0.02019071,0.0034072,0.00031897,19,8.59156532,318677.938,1.02061524,0.99210179,1.08884821,1.03999078,100,0.89133232,2.3486,2.7084,2.90997792,7.96697792
0.131218849,68.479557,14.7011771,0.03633569,100,0.0183396,0.04403153,15,10.1618603,284609.044,1.11677666,0.97837341,0.85576577,0.91204083,0.96415017,4.0325,3.3256,0.6534992,8.0115992,,0.13121885,68.479557,0.00420157,0.00608683,0.00035227,15,10.1618603,284609.0436,1.11677666,0.97837341,0.85576577,0.91204083,100,0.96415017,2.3462,2.4336,1.95326132,6.73306132
0.220001196,84.2422819,13.1839719,0.04426518,100,0.01004864,0.01806311,12,9.33685145,394529.903,0.82126517,1.12286685,1.19840851,1.10574348,0.87571352,4.4986,3.8618,0.75575492,9.11615492,,0.2200012,84.2422819,0.01936142,0.00505056,0.00027083,12,9.33685145,394529.9029,0.82126517,1.12286685,1.19840851,1.10574348,100,0.87571352,2.352,2.2098,2.54587176,7.10767176
0.212639907,76.0351658,9.15023375,0.01835854,100,0.02053386,0.03369325,14,8.13744166,396498.072,1.01761045,1.05936811,1.16229339,1.04392283,0.99600832,4.7514,4.0429,0.80941335,9.60371335,,0.21263991,76.0351658,0.01053442,0.00472189,0.00027114,14,8.13744166,396498.0721,1.01761045,1.05936811,1.16229339,1.04392283,100,0.99600832,2.3492,2.3624,2.61902244,7.33062244
0.140655901,71.2956476,12.3249993,0.01701841,100,0.01081984,0.02951756,14,11.2401614,332430.971,1.05118299,1.16114075,1.19950476,1.05470083,0.95734966,3.9575,3.2933,0.82919672,8.07999672,,0.1406559,71.2956476,0.03392633,0.00444102,0.00026476,14,11.2401614,332430.9707,1.05118299,1.16114075,1.19950476,1.05470083,100,0.95734966,2.3549,2.3688,2.41612609,7.13982609
0.20458438,60.6569672,13.0158248,0.04612361,100,0.01303436,0.02599671,17,8.4243366,335664.475,0.94384251,0.89698055,1.10053029,1.17598946,0.91317074,4.5698,3.8822,0.93103447,9.38303447,,0.20458438,60.6569672,0.01368756,0.00249374,0.00033726,17,8.4243366,335664.475,0.94384251,0.89698055,1.10053029,1.17598946,100,0.91317074,2.3453,2.5735,2.86973615,7.78853615
0.111157445,85.8192587,13.3901296,0.03039148,100,0.01180928,0.01987191,12,10.1044127,260542.762,1.01639895,0.96383269,0.99640942,1.14904544,0.97337453,3.5451,2.9331,0.58901228,7.06721228,,0.11115745,85.8192587,0.04000449,0.00180913,0.00029849,12,10.1044127,260542.7623,1.01639895,0.96383269,0.99640942,1.14904544,100,0.97337453,2.3505,2.2102,1.74338395,6.30408395
0.068650778,76.9518948,9.03379011,0.05446672,100,0.01066194,0.0035688,13,8.76618531,387789.404,1.0563859,1.18347147,1.06869426,1.0885874,0.87874777,3.1679,2.5757,0.66456042,6.40816042,,0.06865078,76.9518948,0.03727276,0.00637591,0.00029301,13,8.76618531,387789.4044,1.0563859,1.18347147,1.06869426,1.0885874,100,0.87874777,2.356,2.2939,1.77017926,6.42007926
0.120081879,63.37708,10.5409837,0.04092433,100,0.01901312,0.01618322,16,8.57568684,299409.711,0.86864648,1.05074246,0.90472307,0.81697557,0.87693756,3.3842,2.834,0.72668833,6.94488833,,0.12008188,63.37708,0.04419644,0.00342765,0.00028949,16,8.57568684,299409.7114,0.86864648,1.05074246,0.90472307,0.81697557,100,0.87693756,2.3534,2.5136,2.07267961,6.93967961
0.146447378,71.2846947,12.885282,0.04487408,100,0.01724821,0.04689286,14,11.2794795,266874.325,0.94623184,1.12086723,1.13570619,1.14995396,0.86249039,3.8927,3.239,0.800868,7.932568,,0.14644738,71.2846947,0.00790666,0.00444662,0.00031767,14,11.2794795,266874.3253,0.94623184,1.12086723,1.13570619,1.14995396,100,0.86249039,2.3505,2.3629,2.35777151,7.07117151
0.194686894,72.2283888,14.3219953,0.00735412,100,0.01497732,0.01588843,14,10.5651044,346334.064,0.89911208,1.12331049,0.89512444,0.92145507,0.94345376,4.2454,3.6268,0.67850114,8.55070114,,0.19468689,72.2283888,0.01544353,0.00323651,0.00037183,14,10.5651044,346334.064,0.89911208,1.12331049,0.89512444,0.92145507,100,0.94345376,2.3515,2.3642,2.24787543,6.96357543
0.147560971,76.1529255,12.5717654,0.02220104,100,0.01240114,0.02116806,13,10.5004374,224616.015,0.97819967,1.18970983,1.1349401,0.83496706,1.0970402,3.863,3.2473,0.75130502,7.86160502,,0.14756097,76.1529255,0.03619515,0.00331379,0.00034932,13,10.5004374,224616.015,0.97819967,1.18970983,1.1349401,0.83496706,100,1.0970402,2.356,2.2933,2.25545726,6.90475726
0.175130569,72.702775,12.0354104,0.03358406,100,0.01843827,0.02278876,14,9.72070017,309750.879,0.93218541,1.08336785,1.13712034,0.92896345,0.87685382,4.1439,3.5208,0.80435677,8.46905677,,0.17513057,72.702775,0.02513729,0.00406786,0.00024307,14,9.72070017,309750.8788,0.93218541,1.08336785,1.13712034,0.92896345,100,0.87685382,2.3517,2.3656,2.46918121,7.18648121
0.220025616,54.5619583,13.7900176,0.04389082,100,0.01802069,0.01041873,19,9.48187883,209781.563,0.93468685,0.81780689,0.85797315,0.94389527,1.03417943,4.6406,4.021,0.85203275,9.51363275,,0.22002562,54.5619583,0.02396775,0.00434001,0.0002567,19,9.48187883,209781.5633,0.93468685,0.81780689,0.85797315,0.94389527,100,1.03417943,2.3445,2.7066,2.72558396,7.77668396
0.211190128,86.575141,10.1162877,0.02415212,100,0.0147134,0.04628406,12,9.34929776,393603.027,1.01920924,0.9518862,1.04279575,0.97824581,1.01583402,4.7877,4.0291,0.66307164,9.47987164,,0.21119013,86.575141,0.00747884,0.00647101,0.00036109,12,9.34929776,393603.0269,1.01920924,0.9518862,1.04279575,0.97824581,100,1.01583402,2.3459,2.2047,2.29068082,6.84128082
0.193291386,74.3999767,7.30712843,0.03169331,100,0.01356446,0.02885382,14,9.54010022,277583.373,1.15941896,0.94898164,1.1483356,1.12114775,0.80108092,4.771,4.0424,0.80047049,9.61387049,,0.19329139,74.3999767,0.01876201,0.00506756,0.00026107,14,9.54010022,277583.3726,1.15941896,0.94898164,1.1483356,1.12114775,100,0.80108092,2.3473,2.3622,2.53996549,7.24946549
0.111480681,56.4407015,14.5074983,0.05219976,100,0.02084185,0.01485716,18,9.18838501,231716.192,1.03222947,0.88772786,0.81056376,0.8490629,0.84010627,3.6079,2.9962,0.7353187,7.3394187,,0.11148068,56.4407015,0.02208823,0.00353745,0.00039102,18,9.18838501,231716.1918,1.03222947,0.88772786,0.81056376,0.8490629,100,0.84010627,2.3461,2.6421,2.04921417,7.03741417
0.223693119,52.8129768,10.3355002,0.04588379,100,0.01906325,0.03847617,19,11.0517495,249054.158,1.00119972,1.11182296,1.09526086,1.07402432,1.15655816,4.8902,4.1748,1.06554124,10.1305412,,0.22369312,52.8129768,0.04155785,0.00184343,0.00020814,19,11.0517495,249054.1577,1.00119972,1.11182296,1.09526086,1.07402432,100,1.15655816,2.3546,2.7145,3.22831106,8.29741106
0.095173983,75.0899839,13.0347257,0.03994074,100,0.01047503,0.0448083,14,10.0279888,272173.87,1.15774512,0.90639575,1.06891556,1.03094108,1.17664812,3.68,2.9876,0.69457659,7.36217659,,0.09517398,75.0899839,0.03886383,0.00572588,0.00030209,14,10.0279888,272173.8696,1.15774512,0.90639575,1.06891556,1.03094108,100,1.17664812,2.3488,2.3657,1.93644649,6.65094649
0.12241917,70.5797672,13.9078479,0.02198164,100,0.01588676,0.027942,15,8.30070117,220421.946,0.95766096,0.98843534,0.92743545,1.0914654,1.14731524,3.562,2.9535,0.67176702,7.18726702,,0.12241917,70.5797672,0.02476194,0.00324426,0.00028988,15,8.30070117,220421.946,0.95766096,0.98843534,0.92743545,1.0914654,100,1.14731524,2.3491,2.4373,1.9644806,6.7508806
0.226217176,64.8838282,7.78146601,0.05162982,100,0.01751732,0.03523947,16,8.98254995,211692.369,0.89045835,1.09878342,1.0201705,1.09192235,0.90595272,4.7027,4.0377,0.84228173,9.58268173,,0.22621718,64.8838282,0.02909173,0.00448719,0.0003145,16,8.98254995,211692.369,0.89045835,1.09878342,1.0201705,1.09192235,100,0.90595272,2.3526,2.5114,2.74067729,7.60467729
0.085980158,56.486969,12.2521987,0.01996919,100,0.01325917,0.00567017,18,8.97493131,322485.077,0.91901264,0.88318889,1.00674901,1.06280205,1.0641969,3.0642,2.5161,0.8583666,6.4386666,,0.08598016,56.486969,0.00744209,0.00630141,0.00021643,18,8.97493131,322485.0774,0.91901264,0.88318889,1.00674901,1.06280205,100,1.0641969,2.3441,2.6396,2.26660335,7.25030335
0.060051546,67.1283865,9.46402788,0.04903152,100,0.01151662,0.01028879,15,9.21279855,279995.811,0.92702441,1.14992507,1.08422604,0.94731433,0.96827886,2.79,2.2609,0.76180739,5.81270739,,0.06005155,67.1283865,0.01980506,0.00428943,0.00029631,15,9.21279855,279995.811,0.92702441,1.14992507,1.08422604,0.94731433,100,0.96827886,2.3528,2.4393,1.95508552,6.74718552
0.109177721,81.7040157,10.1668925,0.03601036,100,0.01852478,0.00520164,13,10.3133926,329987.204,0.91179285,1.09146936,0.92204432,1.19650595,1.09843848,3.3201,2.7778,0.5810136,6.6789136,,0.10917772,81.7040157,0.04881163,0.00272591,0.00023798,13,10.3133926,329987.2041,0.91179285,1.09146936,0.92204432,1.19650595,100,1.09843848,2.3551,2.2937,1.70666446,6.35546446
0.202831265,61.4501238,9.80653238,0.00938889,100,0.01780503,0.0326149,17,10.0976286,374191.129,1.15980172,1.15774548,0.84230776,1.02844026,0.86990097,4.8738,4.1242,0.74990595,9.74790595,,0.20283127,61.4501238,0.0133934,0.00304286,0.00021029,17,10.0976286,374191.1292,1.15980172,1.15774548,0.84230776,1.02844026,100,0.86990097,2.3521,2.5778,2.42906161,7.35896161
