City Name,Delivery Mode,Demand Level,Leakage Level,Distribution Leakage Rate,Transmission Lekage Rate,Station Leakage Rate,Transmission GHG,Distribution GHG,Station GHG,Total GHG,GHG Difference,GHG Cost Difference,Cost Differnce,Total Cost,Cumulative Leakage Rate
Miami,Pipeline,Medium,High,0.05,0.0004,0.0065,279.205707,557.756134,1834.05163,2671.01347,11.1115302,0.00111115,0.01726877,0.01837992,0.060
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
City Name,Delivery Mode,Demand Level,Leakage Level,Distribution Leakage Rate,Transmission Lekage Rate,Station Leakage Rate,Transmission GHG,Distribution GHG,Station GHG,Total GHG,GHG Difference,GHG Cost Difference,Cost Differnce,Total Cost,Cumulative Leakage Rate
New Haven,Gas,High,Low,0.0012,0.0012,0.0017,1387.79434,1287.88989,522.34482,3198.02905,-5.07573587,-0.00050757,-0.0274678,-0.02797538,0.004
New Haven,Gas,High,Medium,0.0018,0.0256,0.0041,1391.44533,1288.05584,523.603609,3203.10478,0,0,0,0,0.032
New Haven,Gas,High,High,0.0024,0.05,0.0065,1395.26228,1288.05584,524.868479,3208.1866,5.08181759,0.00050818,0.03037828,0.03088646,0.062
New Haven,Liquid,High,Low,0.005,0.001,0.01,3827.99952,3811.57646,201.665796,7841.24177,-1.12662456,-0.00011266,-0.08523058,-0.08534325,0.016
New Haven,Liquid,High,Medium,0.03,0.0255,0.0155,3827.99952,3811.57646,202.792421,7842.3684,0,0,0,0,0.075
New Haven,Liquid,High,High,0.055,0.05,0.021,3827.99952,3811.57646,203.931704,7843.50768,1.13928326,0.00011393,0.09096688,0.09108081,0.138
New Haven,Pipeline,High,Low,0.001,0.0002,0.0017,290.097614,373.237494,1825.46964,2488.80474,-8.45297674,-0.0008453,-0.01354243,-0.01438772,0.003
New Haven,Pipeline,High,Medium,0.0255,0.0003,0.0041,290.097614,377.291307,1829.8688,2497.25772,0,0,0,0,0.031
New Haven,Pipeline,High,High,0.05,0.0004,0.0065,290.097614,381.524772,1834.28922,2505.9116,8.65388327,0.00086539,0.01416147,0.01502686,0.060
Fresno,Gas,High,Low,0.0012,0.0012,0.0017,1387.9154,1280.29909,522.34482,3190.55932,-4.7789483,-4.78E-04,-0.0270678,-0.0275457,0.004
Fresno,Gas,High,Medium,0.0018,0.0256,0.0041,1391.43556,1280.29909,523.603609,3195.33827,0,0,0,0,0.032
Fresno,Gas,High,High,0.0024,0.05,0.0065,1395.29098,1280.46672,524.868479,3200.62618,5.28790998,0.00052879,0.02587828,0.02640707,0.062
Fresno,Liquid,High,Low,0.005,0.001,0.01,3827.99952,3810.31209,201.665796,7839.9774,-1.12662456,-0.00011266,-0.08523058,-0.08534325,0.016
Fresno,Liquid,High,Medium,0.03,0.0255,0.0155,3827.99952,3810.31209,202.792421,7841.10403,0,0,0,0,0.075
Fresno,Liquid,High,High,0.055,0.05,0.021,3827.99952,3810.31209,203.931704,7842.24331,1.13928326,0.00011393,0.09216688,0.09228081,0.138
Fresno,Pipeline,High,Low,0.001,0.0002,0.0017,289.534001,349.359926,1825.46964,2464.36356,-7.92555707,-0.00079256,-0.01304243,-0.01383498,0.003
Fresno,Pipeline,High,Medium,0.0255,0.0003,0.0041,289.534001,352.886319,1829.8688,2472.28912,0,0,0,0,0.031
Fresno,Pipeline,High,High,0.05,0.0004,0.0065,289.534001,356.581569,1834.28922,2480.40479,8.11566798,0.00081157,0.01356147,0.01437304,0.060
Atlanta,Gas,High,Low,0.0012,0.0012,0.0017,1387.91113,1343.24172,522.34482,3253.49767,-5.1135778,-0.00051136,-0.0268678,-0.02737916,0.004
Atlanta,Gas,High,Medium,0.0018,0.0256,0.0041,1391.5216,1343.48604,523.603609,3258.61124,0,0,0,0,0.032
Atlanta,Gas,High,High,0.0024,0.05,0.0065,1395.33567,1343.74393,524.868479,3263.94808,5.33683074,0.00053368,0.02837828,0.02891196,0.062
Atlanta,Liquid,High,Low,0.005,0.001,0.01,3827.99952,3820.66788,201.665796,7850.3332,-1.12662456,-0.00011266,-0.08633058,-0.08644325,0.016
Atlanta,Liquid,High,Medium,0.03,0.0255,0.0155,3827.99952,3820.66788,202.792421,7851.45982,0,0,0,0,0.075
Atlanta,Liquid,High,High,0.055,0.05,0.021,3827.99952,3820.66788,203.931704,7852.5991,1.13928326,0.00011393,0.09256688,0.09268081,0.138
Atlanta,Pipeline,High,Low,0.001,0.0002,0.0017,281.156988,573.558709,1825.46964,2680.18533,-11.1662452,-0.00111662,-0.01684243,-0.01795905,0.003
Atlanta,Pipeline,High,Medium,0.0255,0.0003,0.0041,281.156988,580.32579,1829.8688,2691.35158,0,0,0,0,0.031
Atlanta,Pipeline,High,High,0.05,0.0004,0.0065,281.156988,587.321035,1834.28922,2702.76724,11.4156626,0.00114157,0.01756147,0.01870304,0.060
Miami,Gas,High,Low,0.0012,0.0012,0.0017,1387.90945,1317.83194,522.34482,3228.08621,-5.0510167,-0.0005051,-0.0267678,-0.02727291,0.004
Miami,Gas,High,Medium,0.0018,0.0256,0.0041,1391.52995,1318.00366,523.603609,3233.13722,0,0,0,0,0.032
Miami,Gas,High,High,0.0024,0.05,0.0065,1395.33649,1318.18969,524.868479,3238.39467,5.25744254,0.00052574,0.02797828,0.02850402,0.062
Miami,Liquid,High,Low,0.005,0.001,0.01,3827.99952,3816.48342,201.665796,7846.14873,-1.12662456,-0.00011266,-0.08593058,-0.08604325,0.016
Miami,Liquid,High,Medium,0.03,0.0255,0.0155,3827.99952,3816.48342,202.792421,7847.27536,0,0,0,0,0.075
Miami,Liquid,High,High,0.055,0.05,0.021,3827.99952,3816.48342,203.931704,7848.41464,1.13928326,0.00011393,0.09216688,0.09228081,0.138
Miami,Pipeline,High,Low,0.001,0.0002,0.0017,278.878292,516.001093,1825.46964,2620.34902,-10.5576013,-0.00105576,-0.01584243,-0.01689819,0.003
Miami,Pipeline,High,Medium,0.0255,0.0003,0.0041,278.878292,522.15953,1829.8688,2630.90662,0,0,0,0,0.031
Miami,Pipeline,High,High,0.05,0.0004,0.0065,278.878292,528.53353,1834.28922,2641.70104,10.7944174,0.00107944,0.01666147,0.01774092,0.060
