City Name,Delivery Type,Station Size,Leakage Level,Market Penetration Rate,Distribution Leakage,Transmission Leakage,Station Leakage Rates,Distribution Cost,Transmission Cost,Station Cost,H2 Deivery (Market Rate),Total Costs,Transmission Length
"New Haven, CT",Gas,1000 kg/day,Medium,0.01,0.0018,0.0106,0.0041,-,2.2882,1.8234,"1,997.58",4.1116,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.02,0.0018,0.0106,0.0041,-,1.9986,1.5306,"3,995.16",3.5292,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.03,0.0018,0.0106,0.0041,-,2.0105,1.6282,"5,992.74",3.6387,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.04,0.0018,0.0106,0.0041,-,1.9268,1.5306,"7,990.32",3.4574,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.05,0.0018,0.0106,0.0041,-,1.9447,1.5892,"9,987.90",3.5338,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.06,0.0018,0.0106,0.0041,-,1.8978,1.5306,"11,985.48",3.4284,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.07,0.0018,0.0106,0.0041,-,1.9273,1.5724,"13,983.06",3.4997,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.08,0.0018,0.0106,0.0041,-,1.8814,1.5306,"15,980.64",3.412,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.09,0.0018,0.0106,0.0041,-,1.9055,1.5631,"17,978.22",3.4687,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.10,0.0018,0.0106,0.0041,-,1.8705,1.5306,"19,975.80",3.4011,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.11,0.0018,0.0106,0.0041,-,1.8909,1.5572,"21,973.38",3.4482,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.12,0.0018,0.0106,0.0041,-,1.8628,1.5306,"23,970.96",3.3933,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.13,0.0018,0.0106,0.0041,-,1.8463,1.5531,"25,968.54",3.3994,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.14,0.0018,0.0106,0.0041,-,1.8638,1.5306,"27,966.12",3.3943,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.15,0.0018,0.0106,0.0041,-,1.8428,1.5501,"29,963.70",3.3929,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.16,0.0018,0.0106,0.0041,-,1.8582,1.5306,"31,961.28",3.3887,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.17,0.0018,0.0106,0.0041,-,1.8399,1.5478,"33,958.86",3.3877,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.18,0.0018,0.0106,0.0041,-,1.8537,1.5306,"35,956.44",3.3843,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.19,0.0018,0.0106,0.0041,-,1.8375,1.546,"37,954.02",3.3835,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.20,0.0018,0.0106,0.0041,-,1.8499,1.5306,"39,951.60",3.3805,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.21,0.0018,0.0106,0.0041,-,1.84,1.5445,"41,949.18",3.3845,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.22,0.0018,0.0106,0.0041,-,1.8468,1.5306,"43,946.76",3.3774,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.23,0.0018,0.0106,0.0041,-,1.8378,1.5433,"45,944.34",3.3811,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.24,0.0018,0.0106,0.0041,-,1.844,1.5306,"47,941.92",3.3746,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.25,0.0018,0.0106,0.0041,-,1.8359,1.5423,"49,939.50",3.3782,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.26,0.0018,0.0106,0.0041,-,1.8246,1.5306,"51,937.08",3.3552,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.27,0.0018,0.0106,0.0041,-,1.8341,1.5414,"53,934.66",3.3755,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.28,0.0018,0.0106,0.0041,-,1.8272,1.5306,"55,932.24",3.3578,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.29,0.0018,0.0106,0.0041,-,1.8326,1.5407,"57,929.82",3.3733,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.30,0.0018,0.0106,0.0041,-,1.8261,1.5306,"59,927.40",3.3567,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.31,0.0018,0.0106,0.0041,-,1.8312,1.54,"61,924.98",3.3712,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.32,0.0018,0.0106,0.0041,-,1.8252,1.5306,"63,922.56",3.3558,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.33,0.0018,0.0106,0.0041,-,1.83,1.5395,"65,920.14",3.3694,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.34,0.0018,0.0106,0.0041,-,1.8243,1.5306,"67,917.72",3.3549,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.35,0.0018,0.0106,0.0041,-,1.8316,1.5389,"69,915.30",3.3705,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.36,0.0018,0.0106,0.0041,-,1.8235,1.5306,"71,912.88",3.3541,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.37,0.0018,0.0106,0.0041,-,1.8304,1.5385,"73,910.46",3.3689,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.38,0.0018,0.0106,0.0041,-,1.8228,1.5306,"75,908.04",3.3534,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.39,0.0018,0.0106,0.0041,-,1.818,1.5381,"77,905.62",3.3561,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.40,0.0018,0.0106,0.0041,-,1.8221,1.5306,"79,903.20",3.3527,100
"New Haven, CT",Gas,1000 kg/day,Medium,0.41,0.0018,0.0106,0.0041,-,1.8175,1.5377,"81,900.78",3.3552,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.01,0.0018,0.0106,0.0041,-,2.2882,2.3492,"1,997.58",4.6374,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.02,0.0018,0.0106,0.0041,-,1.9986,1.7767,"3,995.16",3.7753,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.03,0.0018,0.0106,0.0041,-,2.0105,1.5859,"5,992.74",3.5964,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.04,0.0018,0.0106,0.0041,-,1.9268,1.4905,"7,990.32",3.4173,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.05,0.0018,0.0106,0.0041,-,1.9447,1.6622,"9,987.90",3.6069,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.06,0.0018,0.0106,0.0041,-,1.8978,1.5859,"11,985.48",3.4837,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.07,0.0018,0.0106,0.0041,-,1.9273,1.5314,"13,983.06",3.4587,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.08,0.0018,0.0106,0.0041,-,1.8814,1.4905,"15,980.64",3.3719,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.09,0.0018,0.0106,0.0041,-,1.9055,1.5859,"17,978.22",3.4914,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.10,0.0018,0.0106,0.0041,-,1.8705,1.5477,"19,975.80",3.4183,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.11,0.0018,0.0106,0.0041,-,1.8909,1.5165,"21,973.38",3.4074,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.12,0.0018,0.0106,0.0041,-,1.8628,1.4905,"23,970.96",3.3532,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.13,0.0018,0.0106,0.0041,-,1.8463,1.5565,"25,968.54",3.4028,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.14,0.0018,0.0106,0.0041,-,1.8638,1.5314,"27,966.12",3.3951,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.15,0.0018,0.0106,0.0041,-,1.8428,1.5096,"29,963.70",3.3523,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.16,0.0018,0.0106,0.0041,-,1.8582,1.4905,"31,961.28",3.3486,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.17,0.0018,0.0106,0.0041,-,1.8399,1.541,"33,958.86",3.3809,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.18,0.0018,0.0106,0.0041,-,1.8537,1.5223,"35,956.44",3.3759,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.19,0.0018,0.0106,0.0041,-,1.8375,1.5055,"37,954.02",3.343,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.20,0.0018,0.0106,0.0041,-,1.8499,1.4905,"39,951.60",3.3403,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.21,0.0018,0.0106,0.0041,-,1.84,1.5314,"41,949.18",3.3713,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.22,0.0018,0.0106,0.0041,-,1.8468,1.5165,"43,946.76",3.3633,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.23,0.0018,0.0106,0.0041,-,1.8378,1.5029,"45,944.34",3.3407,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.24,0.0018,0.0106,0.0041,-,1.844,1.4905,"47,941.92",3.3345,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.25,0.0018,0.0106,0.0041,-,1.8359,1.5248,"49,939.50",3.3607,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.26,0.0018,0.0106,0.0041,-,1.8246,1.5125,"51,937.08",3.3371,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.27,0.0018,0.0106,0.0041,-,1.8341,1.5011,"53,934.66",3.3352,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.28,0.0018,0.0106,0.0041,-,1.8272,1.4905,"55,932.24",3.3177,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.29,0.0018,0.0106,0.0041,-,1.8326,1.5201,"57,929.82",3.3527,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.30,0.0018,0.0106,0.0041,-,1.8261,1.5096,"59,927.40",3.3356,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.31,0.0018,0.0106,0.0041,-,1.8312,1.4997,"61,924.98",3.3309,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.32,0.0018,0.0106,0.0041,-,1.8252,1.4905,"63,922.56",3.3157,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.33,0.0018,0.0106,0.0041,-,1.83,1.5165,"65,920.14",3.3465,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.34,0.0018,0.0106,0.0041,-,1.8243,1.5073,"67,917.72",3.3316,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.35,0.0018,0.0106,0.0041,-,1.8316,1.4987,"69,915.30",3.3302,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.36,0.0018,0.0106,0.0041,-,1.8235,1.4905,"71,912.88",3.314,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.37,0.0018,0.0106,0.0041,-,1.8304,1.5137,"73,910.46",3.3441,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.38,0.0018,0.0106,0.0041,-,1.8228,1.5055,"75,908.04",3.3283,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.39,0.0018,0.0106,0.0041,-,1.818,1.4978,"77,905.62",3.3158,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.40,0.0018,0.0106,0.0041,-,1.8221,1.4905,"79,903.20",3.3126,100
"New Haven, CT",Gas,2000 kg/day,Medium,0.41,0.0018,0.0106,0.0041,-,1.8175,1.5114,"81,900.78",3.3289,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.01,0.0018,0.0106,0.0041,-,2.2882,1.6947,"1,997.58",3.9828,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.02,0.0018,0.0106,0.0041,-,1.9986,1.6947,"3,995.16",3.6932,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.03,0.0018,0.0106,0.0041,-,2.0105,1.6947,"5,992.74",3.7052,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.04,0.0018,0.0106,0.0041,-,1.9268,1.6947,"7,990.32",3.6215,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.05,0.0018,0.0106,0.0041,-,1.9447,1.6947,"9,987.90",3.6393,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.06,0.0018,0.0106,0.0041,-,1.8978,1.4209,"11,985.48",3.3187,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.07,0.0018,0.0106,0.0041,-,1.9273,1.46,"13,983.06",3.3873,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.08,0.0018,0.0106,0.0041,-,1.8814,1.4893,"15,980.64",3.3708,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.09,0.0018,0.0106,0.0041,-,1.9055,1.5122,"17,978.22",3.4177,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.10,0.0018,0.0106,0.0041,-,1.8705,1.5304,"19,975.80",3.401,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.11,0.0018,0.0106,0.0041,-,1.8909,1.5453,"21,973.38",3.4363,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.12,0.0018,0.0106,0.0041,-,1.8628,1.4209,"23,970.96",3.2837,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.13,0.0018,0.0106,0.0041,-,1.8463,1.442,"25,968.54",3.2882,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.14,0.0018,0.0106,0.0041,-,1.8638,1.46,"27,966.12",3.3238,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.15,0.0018,0.0106,0.0041,-,1.8428,1.4757,"29,963.70",3.3184,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.16,0.0018,0.0106,0.0041,-,1.8582,1.4893,"31,961.28",3.3475,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.17,0.0018,0.0106,0.0041,-,1.8399,1.5014,"33,958.86",3.3413,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.18,0.0018,0.0106,0.0041,-,1.8537,1.4209,"35,956.44",3.2746,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.19,0.0018,0.0106,0.0041,-,1.8375,1.4353,"37,954.02",3.2728,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.20,0.0018,0.0106,0.0041,-,1.8499,1.4483,"39,951.60",3.2982,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.21,0.0018,0.0106,0.0041,-,1.84,1.46,"41,949.18",3.3,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.22,0.0018,0.0106,0.0041,-,1.8468,1.4707,"43,946.76",3.3175,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.23,0.0018,0.0106,0.0041,-,1.8378,1.4804,"45,944.34",3.3182,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.24,0.0018,0.0106,0.0041,-,1.844,1.4209,"47,941.92",3.2649,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.25,0.0018,0.0106,0.0041,-,1.8359,1.4319,"49,939.50",3.2677,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.26,0.0018,0.0106,0.0041,-,1.8246,1.442,"51,937.08",3.2665,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.27,0.0018,0.0106,0.0041,-,1.8341,1.4513,"53,934.66",3.2854,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.28,0.0018,0.0106,0.0041,-,1.8272,1.46,"55,932.24",3.2872,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.29,0.0018,0.0106,0.0041,-,1.8326,1.4681,"57,929.82",3.3007,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.30,0.0018,0.0106,0.0041,-,1.8261,1.4209,"59,927.40",3.247,100
"New Haven, CT",Gas,3000 kg/day,Medium,0.31,0.0018,0.0106,0.0041,-,1.8312,1.4297,"61,924.98",3.2609,100
