City Name,Delivery Type,Station Size,Leakage Level,Market Penetration Rate,Distribution Leakage,Transmission Leakage,Station Leakage Rates,Distribution Cost,Transmission Cost,Station Cost,H2 Deivery (Market Rate),Total Costs,Transmission Length
"New Haven, CT",Gas,2000 kg/day,Medium,0.04,0.0018,0.0106,0.0041,-,3.1571,1.4905,"7,990.32",4.6476,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.05,0.0018,0.0106,0.0041,-,3.154,1.6622,"9,987.90",4.8162,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.06,0.0018,0.0106,0.0041,-,3.0911,1.5859,"11,985.48",4.6769,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.07,0.0018,0.0106,0.0041,-,3.0951,1.5314,"13,983.06",4.6265,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.08,0.0018,0.0106,0.0041,-,3.1117,1.4905,"15,980.64",4.6022,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.09,0.0018,0.0106,0.0041,-,3.0626,1.5859,"17,978.22",4.6484,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.10,0.0018,0.0106,0.0041,-,3.0786,1.5477,"19,975.80",4.6263,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.11,0.0018,0.0106,0.0041,-,3.0816,1.5165,"21,973.38",4.5981,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.12,0.0018,0.0106,0.0041,-,3.0549,1.4905,"23,970.96",4.5453,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.13,0.0018,0.0106,0.0041,-,3.06,1.5565,"25,968.54",4.6165,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.14,0.0018,0.0106,0.0041,-,3.0703,1.5314,"27,966.12",4.6016,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.15,0.0018,0.0106,0.0041,-,3.0439,1.5096,"29,963.70",4.5535,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.16,0.0018,0.0106,0.0041,-,3.0538,1.4905,"31,961.28",4.5443,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.17,0.0018,0.0106,0.0041,-,3.0568,1.541,"33,958.86",4.5978,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.18,0.0018,0.0106,0.0041,-,3.0408,1.5223,"35,956.44",4.5631,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.19,0.0018,0.0106,0.0041,-,3.0441,1.5055,"37,954.02",4.5496,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.20,0.0018,0.0106,0.0041,-,3.0525,1.4905,"39,951.60",4.543,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.21,0.0018,0.0106,0.0041,-,3.0336,1.5314,"41,949.18",4.565,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.22,0.0018,0.0106,0.0041,-,3.0417,1.5165,"43,946.76",4.5582,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.23,0.0018,0.0106,0.0041,-,3.0443,1.5029,"45,944.34",4.5472,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.24,0.0018,0.0106,0.0041,-,3.0321,1.4905,"47,941.92",4.5226,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.25,0.0018,0.0106,0.0041,-,3.0353,1.5248,"49,939.50",4.5601,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.26,0.0018,0.0106,0.0041,-,3.0415,1.5125,"51,937.08",4.554,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.27,0.0018,0.0106,0.0041,-,3.0277,1.5011,"53,934.66",4.5288,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.28,0.0018,0.0106,0.0041,-,3.0337,1.4905,"55,932.24",4.5242,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.29,0.0018,0.0106,0.0041,-,3.0359,1.5201,"57,929.82",4.556,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.30,0.0018,0.0106,0.0041,-,3.0268,1.5096,"59,927.40",4.5364,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.31,0.0018,0.0106,0.0041,-,3.0291,1.4997,"61,924.98",4.5288,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.32,0.0018,0.0106,0.0041,-,3.0346,1.4905,"63,922.56",4.5251,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.33,0.0018,0.0106,0.0041,-,3.026,1.5165,"65,920.14",4.5425,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.34,0.0018,0.0106,0.0041,-,3.0281,1.5073,"67,917.72",4.5354,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.35,0.0018,0.0106,0.0041,-,3.0332,1.4987,"69,915.30",4.5319,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.36,0.0018,0.0106,0.0041,-,3.0226,1.4905,"71,912.88",4.5131,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.37,0.0018,0.0106,0.0041,-,3.0275,1.5137,"73,910.46",4.5412,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.38,0.0018,0.0106,0.0041,-,3.0293,1.5055,"75,908.04",4.5348,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.39,0.0018,0.0106,0.0041,-,3.0224,1.4978,"77,905.62",4.5202,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.40,0.0018,0.0106,0.0041,-,3.0243,1.4905,"79,903.20",4.5148,250
"New Haven, CT",Gas,2000 kg/day,Medium,0.41,0.0018,0.0106,0.0041,-,3.0284,1.5114,"81,900.78",4.5398,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.01,0.0018,0.0106,0.0041,-,3.4137,1.6947,"1,997.58",5.1084,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.02,0.0018,0.0106,0.0041,-,3.3399,1.6947,"3,995.16",5.0346,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.03,0.0018,0.0106,0.0041,-,3.1319,1.6947,"5,992.74",4.8265,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.04,0.0018,0.0106,0.0041,-,3.1571,1.6947,"7,990.32",4.8518,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.05,0.0018,0.0106,0.0041,-,3.154,1.6947,"9,987.90",4.8487,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.06,0.0018,0.0106,0.0041,-,3.0911,1.4209,"11,985.48",4.512,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.07,0.0018,0.0106,0.0041,-,3.0951,1.46,"13,983.06",4.5551,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.08,0.0018,0.0106,0.0041,-,3.1117,1.4893,"15,980.64",4.601,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.09,0.0018,0.0106,0.0041,-,3.0626,1.5122,"17,978.22",4.5747,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.10,0.0018,0.0106,0.0041,-,3.0786,1.5304,"19,975.80",4.609,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.11,0.0018,0.0106,0.0041,-,3.0816,1.5453,"21,973.38",4.6269,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.12,0.0018,0.0106,0.0041,-,3.0549,1.4209,"23,970.96",4.4758,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.13,0.0018,0.0106,0.0041,-,3.06,1.442,"25,968.54",4.502,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.14,0.0018,0.0106,0.0041,-,3.0703,1.46,"27,966.12",4.5303,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.15,0.0018,0.0106,0.0041,-,3.0439,1.4757,"29,963.70",4.5196,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.16,0.0018,0.0106,0.0041,-,3.0538,1.4893,"31,961.28",4.5431,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.17,0.0018,0.0106,0.0041,-,3.0568,1.5014,"33,958.86",4.5582,250
"New Haven, CT",Gas,3000 kg/day,Medium,0.18,0.0018,0.0106,0.0041,-,3.0408,1.4209,"35,956.44",4.4617,250
