New Haven High Demand,,,,Fresno High Demand,,,,Atlanta High Demand,,,,Miami High Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
2.7806559,3.88964969,2.8953051,,2.49187561,3.53975533,2.6215792,,2.76108407,2.81261889,2.16520257,,2.9423929,3.49756858,2.34502528
2.63707092,4.02287045,3.11898044,,2.64691125,3.80403293,2.55078509,,2.78628869,2.72245956,2.37397008,,2.76279085,3.59720961,2.5280985
2.43597926,3.21957171,2.86319866,,2.6172981,3.71886308,2.44267033,,2.28404702,2.41393953,2.09097643,,2.56845953,2.85277825,2.1716272
2.30967902,2.80877727,2.8008264,,2.19708525,3.73794506,2.36468738,,2.69037373,3.05004404,2.24649986,,2.44786106,2.45175685,2.10159223
3.02439125,5.28311337,3.14774812,,2.7925705,4.43929482,2.71810842,,2.95861972,4.06526829,2.68794516,,3.17075131,4.83780666,2.63935469
2.58175681,3.83971221,2.77852249,,2.38337448,3.67341453,2.44460149,,2.83499887,3.10753896,2.5655905,,2.7118325,3.4141112,2.1667407
2.36253922,3.71944016,2.8208956,,2.23444511,3.02986294,2.36498682,,2.75643053,3.04005574,2.33230974,,2.48514075,3.20500315,2.21815918
2.82933323,3.88002711,2.96809474,,2.81062151,4.61008336,2.53719654,,2.66301483,3.31407338,2.30526891,,2.96377882,3.51241506,2.45975107
2.88709845,4.23525523,3.13180305,,2.53587823,3.86135116,2.63183801,,2.69402386,2.83458703,2.20923239,,3.026008,3.88128388,2.54672567
2.55688054,3.21286093,2.79725619,,2.50959142,4.0027183,2.41419287,,2.84420395,3.14923437,2.48431524,,2.70440218,2.85514649,2.13821745
2.61089943,4.1559502,2.79359438,,2.42833165,3.38581852,2.43234592,,2.56821595,2.33215242,2.25695615,,2.75579869,3.79081537,2.24239128
2.52311762,4.08721183,2.91440514,,2.08181707,2.8219114,2.28462649,,2.80060788,2.97264382,2.44931377,,2.6481407,3.64817722,2.32472804
2.89770308,5.07034338,2.97190605,,2.580012,3.58122696,2.51476697,,2.9629296,3.04116658,2.38314134,,3.01731716,4.56077988,2.51400503
2.79820497,4.26680415,3.1730062,,2.68919344,4.03944119,2.74534843,,2.58811944,2.56257196,2.18004631,,2.94283465,3.89945494,2.58895032
2.65975524,3.71832928,2.87103833,,2.10221783,2.83549074,2.30920288,,2.80192557,3.2346718,2.38018783,,2.80823932,3.25671155,2.23683859
3.05582191,4.17244356,3.17091323,,2.87974765,4.33729898,2.69963652,,2.91969202,2.99612158,2.63596121,,3.20707505,3.77227539,2.68070934
2.42388921,3.24873129,2.79248019,,2.61703072,3.41509433,2.63449076,,2.81099595,2.80505271,2.3369796,,2.57175941,2.87708484,2.13869718
2.92061345,4.45755732,2.98372458,,2.52126805,3.85786514,2.56693167,,2.61784976,2.87231965,2.34164266,,3.06044421,4.11723352,2.50716066
3.05377969,4.39418071,3.04404964,,2.66198205,4.03186265,2.67179013,,2.71714884,3.22040313,2.33327274,,3.20827718,3.91817963,2.58951101
3.07427945,4.2873735,3.03427569,,2.52669015,3.48152214,2.75176511,,2.78779545,3.64271436,2.54505905,,3.24767424,3.91234089,2.51564894
2.497053,3.60896852,2.88556803,,2.46469974,3.21465658,2.3830131,,2.97445006,3.03042741,2.57637774,,2.61942705,3.23314296,2.29471667
2.78010265,4.37926777,3.15561415,,2.65633057,3.89739198,2.55390928,,2.88591201,3.15208435,2.33482155,,2.90993777,3.88739737,2.55201351
2.52525285,3.32237064,2.86111698,,2.43925623,3.55558232,2.49567528,,2.6821431,3.37025308,2.53024015,,2.65795242,2.96383089,2.20218993
2.41587303,3.10061803,2.84793049,,2.86431862,4.62425044,2.69192374,,2.63413474,2.66529451,2.08400127,,2.56339405,2.7302749,2.19960837
2.23921258,2.74737346,2.64452017,,2.36915155,3.4480636,2.489415,,3.08208586,3.34936225,2.5070352,,2.37786712,2.38071797,1.95255607
3.07999564,5.15614285,3.22594505,,2.72114099,4.17879858,2.73943734,,3.0257111,4.17919218,2.60725018,,3.20783243,4.74046437,2.68049302
2.38387196,3.19254278,2.67318922,,2.20509802,2.79140681,2.20036729,,2.9070656,2.94327822,2.48969208,,2.51652069,2.77666839,1.99818988
2.95363696,4.663754,3.05084819,,2.39459811,3.27586761,2.56490167,,3.17612451,4.71229318,2.85281927,,3.11212461,4.19721353,2.51600172
2.96666402,4.8737011,3.22385315,,3.02029352,4.93367969,2.90961991,,2.76510169,3.28507344,2.57767491,,3.11028765,4.43961373,2.67413901
2.44112853,3.31765964,2.82233779,,2.24801893,2.84719108,2.30662896,,3.04903461,3.6937995,2.47518182,,2.57318739,2.93107081,2.22237901
2.67753469,3.78825278,2.94238221,,2.35858811,2.86770594,2.47571099,,2.78183014,2.9561985,2.39357491,,2.82067834,3.44213605,2.32793619
2.34599111,3.45211818,2.73709423,,2.36301061,3.62838819,2.44962667,,3.07171356,3.11643835,2.55121174,,2.47346805,2.97082206,2.07936962
3.03135803,5.06319698,3.35787839,,2.96777558,4.58551241,2.94496492,,2.94075285,4.5478066,2.67244025,,3.15195155,4.59940022,2.85077934
2.65858783,4.21605498,3.07587209,,2.32991412,3.65445326,2.32256745,,2.65500325,2.57672774,2.21116878,,2.77252672,3.74961938,2.48362517
2.43037234,3.30541823,2.86714681,,2.16751077,2.96122813,2.29044963,,2.62533006,2.59324457,2.28070146,,2.54088565,2.88755536,2.22957481
2.64222354,3.67710505,2.82397803,,2.86037306,4.97197798,2.7229507,,2.82792678,3.51614391,2.53950893,,2.79842157,3.19216537,2.20827233
2.50057717,3.35004362,2.75690927,,2.20684464,3.11234658,2.33820641,,2.80707147,3.26389692,2.49300969,,2.65481826,2.97822517,2.11090012
2.39390857,3.36323251,2.69000493,,2.78480371,4.56856575,2.65760598,,2.79782089,3.98875546,2.52733647,,2.54462215,2.90784445,2.03142926
2.82690561,4.85625838,3.02944671,,2.14537703,3.26307193,2.24661942,,3.08248924,3.30497057,2.62619862,,2.97037083,4.42656664,2.49739317
2.85725834,4.73507688,2.90404128,,2.51380001,3.75179359,2.50911076,,2.99461991,3.83509129,2.49776193,,3.00709151,4.28760352,2.4279826
2.91518469,4.61671536,3.11606899,,2.67549952,3.78974211,2.64757216,,3.03435246,2.97674032,2.45413907,,3.04554057,4.15209598,2.56462177
2.48853017,3.72894303,2.85752879,,2.43246753,2.99834693,2.40697854,,2.66963107,2.96660397,2.37745108,,2.63289404,3.26476132,2.22332995
2.6251867,3.38332632,2.8292634,,2.21831218,3.28975311,2.3539978,,2.92998501,3.80858795,2.54623754,,2.76766351,2.95751838,2.22840561
2.6356651,3.63572952,2.75365669,,2.35941303,2.97003142,2.42378735,,3.01487803,3.86631656,2.60108944,,2.78055438,3.20030642,2.15686136
2.4490902,3.62625959,2.74628213,,2.5245813,3.87606042,2.61990055,,3.01085384,4.11061187,2.49869265,,2.58390841,3.13758705,2.16714876
3.11505522,4.69963481,3.14938251,,2.52131245,3.57254903,2.57323994,,3.07890914,3.8016935,2.7070067,,3.26636975,4.31406937,2.66008178
2.32784436,3.08373527,2.83917435,,2.19585037,3.32086526,2.25718896,,3.30191741,4.50771311,2.80412578,,2.44515969,2.72917356,2.21508976
2.39301585,2.77489948,2.79950855,,2.46248445,3.51951145,2.48555552,,2.53342521,3.07752032,2.32404024,,2.53638633,2.39249842,2.13647855
2.15549344,2.75164294,2.63066681,,2.60611104,3.61973341,2.45349441,,2.74620744,3.3400265,2.41577386,,2.2895398,2.3578153,1.95240758
2.56899452,4.56498463,2.99048509,,2.44967797,3.3869396,2.46200705,,2.59210015,2.68026533,2.15545751,,2.69639974,4.15693779,2.39341725
2.65308429,4.09179059,2.94192717,,2.52502978,3.45369955,2.65263883,,2.91330231,3.87617547,2.63605206,,2.77527866,3.59616245,2.38357926
2.49381443,2.90576712,2.8637268,,2.56879231,3.69232734,2.46909005,,2.75968144,2.91326773,2.45401505,,2.62951938,2.54409886,2.18685297
2.637138,3.62010247,2.87074801,,2.81599778,4.54448307,2.66016147,,3.2316528,4.11749613,2.77646492,,2.7749625,3.24816358,2.24708619
2.342087,3.75416327,2.69376164,,2.25981982,2.86679273,2.34897137,,2.39924049,2.70651573,2.23206341,,2.46931846,3.26971305,2.03516124
2.3888182,3.32732886,2.69148966,,2.82094825,4.52164456,2.83906925,,2.97526851,3.27102334,2.64761785,,2.55044355,2.94280799,1.99399632
3.01739712,4.99919977,3.22947421,,2.40382579,3.00416384,2.35578403,,2.97886239,4.15376294,2.72785733,,3.15785824,4.53216997,2.65430809
2.85821319,3.59157264,2.98778856,,2.24131966,3.00754956,2.31781865,,2.33214042,2.2422718,2.09908317,,3.00242012,3.23087816,2.40903678
2.19622174,3.16027989,2.51081018,,2.44963871,2.96066768,2.35203307,,2.95560432,3.17698194,2.53776546,,2.34482853,2.66312203,1.82137539
2.31665737,3.13674227,2.78178229,,2.48149543,3.12078308,2.5243999,,2.65574481,3.06385724,2.22503291,,2.44659325,2.68502775,2.07154137
2.73925494,4.34518594,2.97005188,,2.98273721,4.31933218,2.82963551,,3.09161697,4.31737709,2.67650769,,2.86583782,3.96830121,2.34718879
2.43967093,3.18805129,2.71926647,,2.64796696,4.2781272,2.68880983,,2.71448545,3.10445191,2.45725721,,2.57685828,2.79715887,2.08985912
2.53584589,4.24631398,2.74139348,,2.50798551,4.06525627,2.51187064,,3.08671986,3.91175985,2.46162941,,2.68695612,3.73668925,2.1260956
2.27157599,3.1124552,2.7015496,,2.39717039,3.20180108,2.3615404,,2.82754923,2.94024772,2.51131273,,2.39137471,2.60138253,2.05797504
2.99978075,4.07408674,3.18020204,,2.83284884,4.34444539,2.68576145,,2.83668512,3.79538743,2.63494539,,3.13155801,3.72728175,2.66240114
2.73602354,3.92563618,2.92146551,,2.36920335,4.06466678,2.50066505,,3.0460355,3.26096454,2.52115243,,2.88776211,3.46075352,2.34235956
2.31461789,3.32259359,2.71928426,,2.27566443,3.56757608,2.4180829,,3.03682855,3.85674277,2.54542556,,2.4661199,2.84810666,2.05609283
3.00682021,4.86209585,3.123636,,2.84615863,4.55165786,2.85952726,,2.81283678,3.27110171,2.39889885,,3.17110309,4.4729381,2.5626193
2.84068274,3.94485599,2.86014461,,2.26143182,3.13301315,2.29865498,,2.75507448,3.04517006,2.35338505,,2.98743453,3.53968095,2.36355583
2.53670435,3.63090353,2.88475678,,2.35755577,3.17901727,2.33645934,,3.17571312,3.86671384,2.81854768,,2.6715154,3.19028358,2.26637202
2.95373391,4.60192622,3.12533436,,2.41243827,3.22869708,2.58090499,,3.02448326,3.55787905,2.63466503,,3.09594931,4.09334063,2.51260244
2.15576935,3.01819091,2.60241492,,2.63670786,4.9408479,2.61830451,,2.38001236,2.78588239,2.15940201,,2.27340776,2.62077382,1.91999269
2.76500786,4.63535525,2.95537842,,2.32738216,3.19462956,2.38360966,,3.25680279,4.20002399,2.81013223,,2.89997565,4.17713005,2.45554039
2.5112774,3.84113646,2.85878014,,2.65434185,5.10171984,2.66317796,,2.73691818,2.90652386,2.48013039,,2.66218764,3.49163955,2.21119522
2.78790315,4.22573588,3.01008569,,2.57924115,3.28000084,2.54319177,,2.93869744,3.555507,2.70131239,,2.94200669,3.76700638,2.46681474
2.33434274,3.09548683,2.73814081,,2.53670908,3.41249081,2.59382934,,3.23636718,3.99188809,2.90372701,,2.46344998,2.64447871,2.06555277
2.64569925,3.90743975,2.8663205,,2.1459218,3.11141341,2.26183955,,3.159413,3.82510987,2.78010851,,2.79325632,3.41476234,2.26943799
2.52733359,3.01786905,2.79224889,,2.75641441,3.96891882,2.62721986,,2.98118965,3.36369877,2.49779007,,2.68865574,2.57872896,2.09695292
2.47247637,3.3253619,2.70427457,,2.24141002,2.86051203,2.32773295,,3.26145047,3.56262863,2.79659702,,2.63005622,2.98434339,2.06035028
2.56594208,3.24652434,2.94398277,,2.30538737,2.89840362,2.3906584,,3.08674301,3.81648445,2.69523972,,2.70968353,2.7958731,2.26462735
2.922714,4.01655425,3.01201266,,2.45703542,3.57074233,2.53383626,,3.19283188,5.0769127,2.76661686,,3.10004365,3.62472689,2.45589738
2.58063359,3.85283956,2.88084348,,2.75014409,4.11183254,2.57243345,,2.97089351,3.86813254,2.70550907,,2.71706914,3.44753792,2.28658779
2.58309064,4.04122263,2.90332131,,2.35346782,3.35684806,2.60934138,,2.74455002,2.64751098,2.40226965,,2.71761981,3.58363447,2.27062318
2.51815182,3.40260236,2.84333345,,2.42069818,3.74320358,2.54652509,,3.23726511,4.20369386,2.80573812,,2.65629876,2.94649903,2.2177967
2.38547319,3.34207244,2.70777555,,2.35084154,2.79830095,2.61632978,,2.63103862,2.90941464,2.15580252,,2.51997157,2.83855704,2.0596534
2.39536913,3.5767624,2.88025068,,2.73536003,4.42701743,2.6545567,,2.65573144,2.7947466,2.19814581,,2.50847731,3.229582,2.2191517
2.13288394,2.94248241,2.46714283,,2.36122134,3.24135402,2.36562501,,2.8425225,3.56935618,2.53934461,,2.28839039,2.4393017,1.77872176
2.60158932,3.55749844,2.82815022,,2.63410252,4.07893754,2.56413507,,3.19001718,3.99716968,2.80590558,,2.75579597,3.11119068,2.21107658
2.78868081,4.51299222,2.76707756,,2.48735117,3.94987614,2.53418226,,3.0608847,4.06465591,2.66530615,,2.9634892,4.02768858,2.23660726
2.80258214,3.64840227,2.89124562,,2.69308372,3.59773743,2.52376085,,3.10017582,4.11355581,2.83382927,,2.96503424,3.31053602,2.2887756
2.51971281,3.4669316,2.83286301,,2.61901372,4.00130258,2.68555811,,2.92309602,3.98798922,2.64013636,,2.67926808,2.97922205,2.17875049
2.94213554,4.64250286,3.1982075,,2.83930775,4.66448503,2.65092305,,3.3487907,3.74759531,2.97705332,,3.08154218,4.19178715,2.67000737
2.28564033,3.26985259,2.61096021,,2.26746895,2.99791952,2.42001467,,2.99950616,4.00986036,2.56423871,,2.42444543,2.92825739,1.9870321
2.68353119,4.12798428,2.82659115,,2.92704528,4.64642518,2.74447517,,2.99223668,3.35070309,2.72342367,,2.81460736,3.77351357,2.23582374
2.62175854,4.478927,2.99339728,,2.47009139,3.40880671,2.49006838,,3.09183386,3.66638652,2.58787912,,2.72805973,4.05732559,2.4193838
2.83633052,3.7689088,3.0531854,,3.03153858,5.19575394,2.9156417,,3.00685374,2.85951056,2.56106954,,2.99193521,3.39116906,2.4106449
2.58148396,3.82447511,2.80740753,,3.17942143,4.81702348,2.94866013,,3.30819223,4.13141385,2.78377382,,2.71799452,3.40502848,2.20759392
2.80521306,4.09900421,2.86053737,,2.47059961,3.52504901,2.40247583,,2.52875209,2.59030427,2.19907269,,2.95596355,3.62516943,2.30423184
2.22718437,3.02162296,2.57675456,,2.37985767,3.7568341,2.42922366,,2.55472291,2.65913698,2.43024411,,2.36231998,2.53398324,1.88907627
2.44205422,3.16069666,2.76798845,,2.27082772,3.03757447,2.47129919,,2.92772818,3.81130064,2.49500116,,2.58460213,2.8157851,2.13269972
2.77732288,4.37890865,2.84930464,,2.74467961,4.21870511,2.66154789,,2.39897859,2.65459902,2.25282073,,2.92726199,3.86606733,2.31274163
2.25592808,2.84227768,2.61867239,,2.31589326,3.43808635,2.37407121,,2.90485608,3.42900655,2.68790259,,2.38761351,2.49960429,1.94910024
2.7284818,4.07543826,2.85873667,,2.79761523,4.45280545,2.7614564,,2.44033391,2.6337831,2.28247045,,2.87813766,3.63935519,2.29859254
2.3546213,3.60786351,2.69330366,,2.60630962,3.59705578,2.63323696,,2.97015479,3.8668947,2.66804015,,2.48710095,3.18950532,2.04782271
2.81116867,3.76978816,3.05034638,,2.80657201,4.32680102,2.63859934,,2.96869633,3.73431518,2.49508096,,2.97881906,3.34051097,2.42673914
2.30954795,2.95377786,2.6850573,,2.82643224,4.07483415,2.69023083,,3.02405686,3.76503213,2.72123006,,2.43334262,2.51524359,2.01348693
2.51027939,3.35245499,2.75580191,,2.48117684,4.12991604,2.56952722,,2.9742375,3.46144035,2.52886837,,2.65234481,2.96469498,2.1383166
2.69386249,3.93125249,2.92126641,,2.5108214,3.91995317,2.4362068,,2.56057,2.48121196,2.39557712,,2.83398213,3.47733901,2.36316919
2.68987278,4.17654848,2.8562171,,2.2429134,3.78557229,2.48754119,,2.86554655,3.34762232,2.36919767,,2.83684937,3.68602656,2.23527965
2.53225184,3.63366387,2.77862889,,2.74880272,4.34106658,2.76328817,,2.51997397,3.01634396,2.25944996,,2.67422281,3.22837508,2.14021683
2.28499939,3.09817687,2.64025732,,2.69937964,3.90212032,2.5582389,,2.98830833,2.98027732,2.59229979,,2.4410909,2.63606603,1.91809032
2.24764348,2.96754547,2.56398896,,2.79066242,4.42654064,2.58796646,,2.39026453,2.12213671,2.10332691,,2.38890459,2.51034478,1.89301443
2.77856873,4.7048421,2.82608108,,2.52676152,3.52531311,2.44557236,,3.13339702,4.40386563,2.67825228,,2.93250963,4.2340285,2.30353965
2.78935358,3.98696002,2.88404213,,2.8101451,4.25458729,2.61112167,,3.00283737,3.7394575,2.62999814,,2.94377791,3.56692544,2.33131275
2.68583708,3.30089251,2.93555537,,2.88499421,4.39902901,2.6673118,,2.63776714,2.66792945,2.37040369,,2.83464641,2.93855667,2.28354745
2.59427251,4.4055735,3.03074537,,2.67167031,4.46953729,2.79497895,,3.15020385,3.49124797,2.65058793,,2.7177097,3.97957668,2.46513959
2.74295353,4.43146231,3.04610022,,2.4390934,4.15088462,2.48776026,,2.80550075,3.23714165,2.39399983,,2.87347959,3.93103696,2.45647763
2.76633034,4.23381872,3.11131254,,2.61648382,4.10250848,2.53620102,,2.93807017,4.05347356,2.55633109,,2.89955354,3.8887438,2.53859466
3.05395978,4.43695765,3.16794934,,2.57988791,3.5196914,2.60129493,,2.91463764,3.83941351,2.5341319,,3.21772524,4.01128964,2.62577258
2.11975347,2.87558351,2.5815902,,2.53703509,4.54847679,2.55511699,,2.87245118,3.57233056,2.66694922,,2.23434468,2.420854,1.87742228
2.5298381,2.81607759,2.83503523,,2.81673296,4.48696618,2.79263524,,2.55661668,2.50333331,2.27367158,,2.68324875,2.47834433,2.18000433
2.28813865,2.76718778,2.57928314,,2.85724318,4.17426704,2.65524835,,3.19114022,3.6796077,2.67934008,,2.44187432,2.41207866,1.91608724
2.54298533,3.33982811,2.8914879,,2.6155236,3.9772468,2.69175172,,3.33394779,4.08165542,2.95083527,,2.67521926,2.89297143,2.24401528
2.76748982,4.44310422,2.9193118,,2.16379055,3.06468142,2.3437585,,2.75124872,3.2955315,2.34915816,,2.91070214,3.97011859,2.3264975
2.74305455,4.47782598,2.93952463,,2.60651646,4.50365303,2.56422053,,3.30812528,4.02131947,2.81431905,,2.87862189,4.02220667,2.40068515
2.5179169,3.12925647,2.76974159,,2.85800401,4.86695347,2.68612798,,3.04971117,3.56132203,2.65700644,,2.66500164,2.78025756,2.10776326
2.82846826,4.80859347,3.21240033,,2.25036359,3.18176725,2.44890465,,3.12187124,4.5767627,2.83234034,,2.96478363,4.32677596,2.63237836
2.97636758,4.24145052,2.98816153,,2.42878802,3.14198871,2.43821407,,2.95805811,3.41496644,2.47815971,,3.14504917,3.88953507,2.41555226
