New Haven Low Demand,,,,Fresno Low Demand,,,,Atlanta Low Demand,,,,Miami Low Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
4.84374654,5.5164678,37.0820734,,5.32133506,5.58197357,35.43366,,3.59540172,3.7755124,13.703617,,4.38972287,5.03524106,13.4642149
4.33318222,5.94738141,35.6613706,,4.23314442,5.2587219,32.8753848,,4.89239994,6.49618182,16.7309662,,3.89249684,5.49168226,12.0761014
4.27189502,4.81897755,36.0884379,,4.3012982,4.76108465,33.9747913,,4.85582738,5.31646648,18.5073124,,3.965511,4.41115729,12.361545
5.91346373,7.0007195,41.0022479,,5.03965711,5.4004083,34.7505419,,4.17379243,4.5993675,16.1092612,,5.25883543,6.39091529,15.2830053
4.11333056,4.27581665,35.6291308,,4.38357856,5.22848203,32.9146905,,3.57832017,4.16554486,14.1361092,,3.76008675,3.88330353,11.7533051
4.69200465,5.82096783,35.2078708,,5.38495059,5.97419503,35.1004644,,5.29376626,5.61500864,18.9891526,,4.12744235,5.23429944,12.0017998
5.48006622,5.66912298,41.0962063,,6.79866858,6.24143672,39.3960494,,5.35921846,5.07254355,19.6619503,,4.70780902,4.99449614,15.4295278
4.53138436,5.33779288,36.2829895,,4.24978465,4.93269481,32.7791933,,4.20018142,4.62477684,15.1723361,,4.26826841,4.98941967,12.7597396
4.76166535,5.8833616,36.6834334,,4.78266629,5.08423209,33.3090301,,4.80499887,4.33273027,18.4124713,,4.2687407,5.36000041,12.1890499
5.42500801,5.78600342,42.4731257,,5.60133773,5.47904694,35.2579539,,3.81475103,4.4324399,13.792476,,4.95799201,5.28348661,16.2452226
4.24265751,5.02564943,35.9688867,,4.86744204,6.04827611,35.1507609,,3.4461771,4.14717943,13.4569622,,3.87215687,4.6089852,11.8987832
4.53302753,5.88307656,36.5873613,,5.02299778,5.56903685,36.3032829,,4.6866658,5.62024048,16.869038,,3.89745775,5.29536871,11.5051295
4.09049599,5.03233161,34.3989963,,3.85689504,4.42233095,32.4529333,,6.07126344,6.61240447,21.4260814,,3.50339976,4.48924578,11.2435497
6.69507926,6.91062862,42.4481927,,4.11007129,4.94406631,31.9518672,,5.36085562,5.78928476,17.6341226,,6.28946762,6.47629195,17.8019679
5.43648819,6.26258281,39.5448523,,4.11863911,4.93089967,32.7911117,,4.08612529,4.42281163,16.1308566,,4.64018936,5.57782088,13.463825
3.85051713,4.94886377,35.6463944,,5.15312981,6.43816314,35.3001162,,4.00160456,4.42477603,15.7510745,,3.52972926,4.49100561,11.5793741
4.70081233,5.31135474,37.4715424,,5.1573158,6.88252567,35.434341,,5.06886506,5.87026575,17.5978576,,4.37466491,4.93703858,13.9503998
5.38568623,6.11685307,40.3497272,,4.42440752,5.24901605,32.1363966,,5.59918097,5.65349213,19.4644928,,5.07493922,5.74910558,15.6958433
5.64148005,5.76835273,40.9747697,,4.98617276,6.16426607,35.3296212,,5.7172985,6.1014058,20.6222275,,4.94794024,5.17268652,14.609353
4.64161618,5.02369606,35.9450733,,4.23250917,4.53784423,34.2735321,,4.63697133,5.91268909,16.6106847,,4.24118937,4.5446962,13.1645705
5.39155574,6.73520554,40.9416488,,4.36836482,5.6840443,33.1011066,,4.17841514,5.0967845,14.329364,,4.68249353,6.10060111,14.4104006
6.65728415,6.79094201,43.2689617,,6.66843806,6.68806511,39.7076628,,5.24728812,5.3500496,19.0552686,,5.92442962,6.05089618,16.5875437
4.50021115,6.35475887,35.9239913,,6.74042194,7.01844323,38.010522,,4.71150018,4.488814,18.7896979,,4.30180729,6.00845305,12.7863469
6.12725244,7.80336263,43.4098292,,4.96026721,6.00524763,33.3255909,,3.35985269,3.57828218,13.9863575,,5.6622232,7.32704374,17.1056776
6.2607655,6.29225992,42.7079542,,5.10108253,5.22152217,36.8007723,,3.95440199,4.74644487,14.958495,,5.66300383,5.76055504,17.7573745
5.6513014,6.66609216,38.0087578,,4.59276466,6.45148046,33.2582836,,4.65643564,4.76523116,18.6151467,,4.95420759,6.06411669,13.829761
4.97334318,5.56239927,38.9237967,,5.14604637,5.99832204,35.1999731,,4.52918868,5.24183053,16.4873179,,4.18547703,4.92642987,12.7961775
4.01054388,4.5203595,34.3198066,,5.8260156,5.86970126,38.3743953,,4.40711524,4.93444487,15.7891716,,3.45974324,3.99116778,11.0637666
4.68164823,5.98394563,37.6953524,,4.75411487,5.26046979,32.437206,,4.54912611,5.26086696,16.6837916,,4.11435142,5.44067829,13.2110269
5.77755489,5.79078239,43.0897575,,4.1526867,4.72287849,32.8579343,,4.63223667,5.7303839,18.4120108,,5.19939172,5.26685628,16.434637
5.42970756,6.55874068,41.1642787,,5.53280091,6.61447934,35.5621142,,3.75991873,4.51760887,14.8038479,,4.93523034,6.06681783,15.3559962
5.37409246,6.04478807,37.5236454,,5.17620158,5.08446475,36.518448,,4.14610784,4.77386802,14.6171323,,4.56754729,5.31651873,13.1777663
4.19883067,4.89399997,34.6550221,,4.76729102,5.15871269,33.2983399,,6.58484495,5.73976077,23.1063099,,3.58779931,4.26125342,10.9258556
4.51402249,5.25320654,35.6330308,,4.00899383,4.50718772,32.5735845,,4.63796251,4.62355083,18.9077097,,4.12134872,4.82217942,12.0707672
6.28947222,7.12069015,41.6756802,,5.13988638,5.47849844,35.7434161,,5.55186795,5.29708992,20.820164,,5.99894239,6.75976642,17.6257537
4.30114046,5.35660167,36.123736,,4.18798934,5.44887616,32.8828966,,3.70437162,4.5966616,15.4142898,,3.7432765,4.8020055,11.2873119
4.99513431,5.28424818,39.9387198,,5.17356467,6.11046145,34.0976968,,3.98757494,4.75970655,14.2791634,,4.55158476,4.76406676,14.4694643
