New Haven Medium Demand,,,,Fresno Medium Demand,,,,Atlanta Medium Demand,,,,Miami Medium Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
3.536767592,5.378830562,6.808911209,,3.174841244,4.587337151,6.080607105,,2.928196383,3.492997277,4.977501718,,3.606988025,4.855036926,4.062324404
2.608915852,4.032587492,6.197990971,,3.13187894,3.903895219,6.592018295,,2.649414701,3.008889716,3.977111447,,2.672159174,3.380609195,3.379276434
2.962427987,4.383047854,6.455890027,,2.844876682,3.985323609,5.710685851,,3.148825914,4.850134958,4.759554739,,3.025627215,3.79183037,3.61613722
3.098067404,4.160642826,6.411631417,,2.880520432,3.878237031,5.693422716,,3.638452318,4.63233364,5.373675991,,3.213315009,3.629182086,3.629465805
3.083603875,4.775051776,6.752642364,,2.988717788,3.782740378,6.029668225,,3.418522986,4.56999353,5.312389025,,3.180786807,4.264023736,3.919661149
2.532588317,3.909370593,6.011596455,,2.966434078,4.857163449,6.021630025,,3.402589246,4.487528583,5.245501196,,2.593245611,3.30642104,3.194948537
2.987435166,4.33768068,6.511809104,,2.964557818,4.228385482,6.085098854,,3.272318238,5.29191085,4.879352918,,3.074635162,3.749904183,3.702694529
3.678719395,4.473890566,7.477321035,,2.591089328,3.585556833,5.550232502,,3.500750647,5.191215511,5.13473263,,3.751575982,3.914307227,4.45866756
3.276289565,4.666696218,6.491726083,,2.748100925,4.084310941,5.59858073,,3.067952873,3.268600458,4.621786235,,3.335392222,4.068115933,3.731519455
3.564666334,5.261363998,7.142446112,,2.694570092,3.992672716,5.404050065,,3.146826974,3.057428329,4.992148508,,3.642948294,4.502772056,4.262332739
2.91180147,4.168006448,6.80683121,,3.122589939,5.15383208,5.938813398,,3.346811622,4.311198442,4.80508097,,3.016385607,3.501952853,3.914298234
3.076296882,4.640885653,6.415039248,,3.15060571,5.64725439,5.937863036,,3.309341407,4.642105835,4.716572613,,3.129448043,4.054704718,3.60713676
2.602941043,3.361120021,6.40877939,,3.019812126,4.341452571,5.716282725,,3.045987961,3.83138859,5.190487022,,2.661467355,2.788674279,3.477910875
3.738234769,5.537963295,7.62682591,,2.921032304,4.861230531,5.898295048,,2.966586789,4.388023665,4.535677459,,3.848765661,4.993335839,4.725449122
2.604295905,3.856101094,5.994522783,,2.565075443,3.391711393,5.496654967,,3.127498995,4.439748613,4.506517554,,2.697937883,3.240679831,3.213738044
3.222578556,3.996947911,7.049242544,,2.861537453,4.747179231,5.583189943,,3.017800191,4.175980938,4.65058026,,3.276049746,3.398283078,4.034326524
3.107562996,5.23146563,6.497679123,,3.198193125,4.437598436,6.536626009,,2.929550608,5.327677749,4.485066585,,3.174577383,4.519183017,3.733656096
3.207994556,4.670505603,7.25842468,,3.525144233,4.970693862,6.598506605,,3.039651112,3.690204881,4.433681859,,3.280039123,3.957754492,4.310077805
2.721724576,4.139617981,6.180464954,,3.321403505,4.988445281,5.964762784,,3.381808911,3.789881009,5.12024138,,2.839946563,3.550651883,3.433536717
2.447864599,2.983933975,6.317937178,,2.735337254,3.681023633,5.934112122,,2.710540104,2.911626631,4.669717715,,2.539948715,2.447852514,3.407441591
3.420875495,5.340200809,7.186666653,,3.151121366,5.571878944,5.875328232,,3.181764246,4.557070557,4.332433584,,3.507841794,4.705060491,4.326945262
3.541516206,4.813968115,7.536244924,,3.117057132,4.697407628,5.989221097,,3.274763202,4.306913611,5.114270419,,3.588386858,4.349759648,4.517483273
2.962438069,4.354904091,6.548218848,,2.93071205,3.977307064,6.123933849,,2.862299514,3.195832711,4.417446924,,3.015379307,3.704656921,3.700165773
3.337731254,4.635887139,6.985409433,,3.065268998,4.242277945,5.787495275,,3.475058512,4.227180633,5.341149643,,3.441753872,4.060290631,4.149193228
2.647440757,4.243685052,6.268203365,,2.605716187,3.742816273,5.310348043,,2.838214644,3.528195729,4.254808809,,2.71506214,3.621071703,3.453498432
3.314414275,4.855343751,7.069974769,,3.068530643,5.08125261,6.15781618,,3.003546234,3.573295378,4.59048489,,3.39272552,4.325592263,4.262124622
3.003428937,4.390075496,6.79487531,,2.946136358,3.660173051,6.169443958,,3.364321632,4.442825244,4.476204276,,3.100398741,3.814461371,4.005812102
3.223445681,5.482885134,6.558722068,,3.041256804,4.061698079,5.636211204,,3.028867385,3.999862703,4.369394017,,3.282517395,4.856468679,3.797251721
2.854925607,4.394726927,6.261360491,,2.524063311,3.543676052,5.392185537,,3.299972025,4.482580894,4.599588539,,2.922884193,3.773208837,3.521780578
3.308005614,5.295530728,7.220052373,,2.7755675,3.938222378,6.082130341,,3.326947297,4.132199915,5.424495139,,3.417114118,4.592168779,4.321417565
2.982801067,5.070928173,6.582354007,,2.664220874,4.49264067,5.377933536,,2.808831434,3.795420535,4.303388325,,3.014357056,4.331737872,3.793702259
2.853532949,4.018110571,6.511604033,,3.263436409,4.927200085,6.244195524,,3.287491608,4.305647924,4.814009534,,2.935018178,3.381743707,3.7536696
2.636731884,3.971127861,6.207534694,,3.398169479,5.452010575,6.148214335,,2.512712682,3.095822649,4.329040216,,2.70358197,3.421851084,3.435930417
3.048864699,4.597419188,6.266845199,,2.560991739,3.454567788,5.294884546,,3.333442176,5.467932291,4.930907934,,3.153839236,3.990377022,3.595090805
3.095647064,4.105478988,7.277131114,,2.954709042,4.669808647,5.588047372,,3.49336346,4.818179728,5.056056312,,3.17713083,3.534916662,4.255994932
3.167181229,4.075861179,6.643564608,,2.818560966,4.886112824,5.528348847,,2.81702375,3.468035714,4.843669702,,3.239600599,3.521209639,3.823008323
2.739544299,4.051205051,6.203433628,,2.864035827,3.700693782,5.985580348,,3.014924732,3.792134528,4.573845872,,2.791103924,3.362833474,3.395497042
3.170594341,4.578639378,7.143971173,,2.855327115,3.867106276,5.482200774,,3.292990734,4.158069396,4.4473906,,3.218132348,4.018915652,4.145656711
2.867422501,3.791767524,6.553522886,,2.588519,4.251717505,5.444278368,,2.919348143,4.338666136,4.344768942,,2.942495302,3.248014698,3.718173004
3.222367012,4.48164442,6.903671121,,3.045174532,4.25141065,6.193586128,,2.477698188,2.591376891,4.051176617,,3.291458115,4.00008175,3.986578816
3.273950541,4.986437031,6.588587237,,3.094731566,4.395261718,5.991368533,,2.914240083,4.296708759,4.513525898,,3.37045361,4.278523751,3.829150136
3.658730509,5.388329863,7.554705971,,3.026871013,5.01059252,5.60518099,,3.366774228,4.641722902,5.307478726,,3.700431993,4.837184448,4.633210107
3.401006261,4.971632641,7.047237216,,2.903053145,4.847014121,5.758618861,,2.685256659,3.081868853,4.292694858,,3.469945389,4.262457603,4.111556163
3.569377183,5.848423301,7.227315548,,3.090312453,5.263617385,6.384534016,,3.00845992,4.02085997,4.452264765,,3.625326952,5.217285664,4.338996879
3.747966339,5.101834752,7.762405122,,2.914646054,4.155294515,5.829791775,,3.135325395,4.652439195,5.050649714,,3.796261107,4.441828522,4.7210076
3.487299709,5.11207899,6.806074598,,2.684818863,3.941897332,5.50346456,,3.061532806,3.751302586,4.499105293,,3.541890329,4.452564726,4.024757124
2.650631835,3.481141284,6.40289907,,2.735724846,4.538622671,5.415483789,,3.132299007,3.703457332,4.879299613,,2.725031954,2.920710047,3.576727995
3.081049681,4.657369356,6.420415178,,2.77995987,3.464583717,5.932733963,,3.038150544,3.446120741,4.426830374,,3.188665559,3.930728175,3.630102196
3.332658404,4.535450156,7.254105349,,2.73313099,3.987006405,5.886390769,,3.417702823,5.420991863,4.773992141,,3.41971655,3.982481156,4.367025032
2.732227697,3.207195402,6.322323623,,3.249221857,4.742079171,6.151726212,,3.219670196,4.444889122,4.595928227,,2.816749556,2.663737448,3.476946486
2.870451194,3.664995434,6.183043629,,2.962111217,3.874254537,5.98970818,,2.974667871,3.732095798,4.630124683,,2.98157808,3.102053289,3.434802756
2.812912827,4.242895897,6.292273796,,2.70411586,3.643105941,6.067490941,,3.283502846,4.043353472,4.871674212,,2.890184276,3.618694109,3.44607537
3.623131424,4.839974661,7.540428996,,3.685492886,6.461465575,6.869376236,,3.259977863,4.811075467,4.924211346,,3.693137237,4.383408825,4.678219212
2.710938193,3.785216009,6.207715848,,2.491408971,3.294421283,5.224854621,,2.428129813,3.338630245,4.003935896,,2.810277541,3.174672381,3.391419627
3.26628202,5.127876048,6.813642121,,2.548253342,3.118325231,5.295914435,,2.878562594,3.493203061,4.290834686,,3.340908032,4.437714832,3.986928999
2.762006341,3.616520009,6.395620461,,3.391826046,5.253966649,6.571313823,,3.015149973,3.930415234,4.367199392,,2.828776231,3.044037463,3.530464916
3.284009348,4.850725842,6.803170314,,2.995943713,4.123476786,5.655689977,,3.155056545,2.822287001,4.985483021,,3.342411791,4.137951754,3.918814629
3.163203431,5.166461878,6.873294582,,2.591975029,3.362303396,5.703220831,,3.660544543,4.93480193,4.752400071,,3.220661301,4.439466716,3.988694604
3.066439237,4.205275005,7.058015857,,2.543138719,3.758258782,5.407294564,,3.165538239,4.602128322,4.8638627,,3.15153455,3.70249873,4.174342135
2.842493329,4.650861158,6.664976953,,3.306939979,4.397761364,6.244859592,,3.137821984,4.690636653,5.104751219,,2.909790547,3.924686694,3.703552686
3.439333074,5.221604545,7.046128755,,2.964293348,3.777090049,5.735256274,,3.391922022,4.290802863,5.368696811,,3.527757284,4.592896338,4.21295858
3.055335254,4.73098006,6.421237688,,3.23937493,4.872622372,6.080786179,,2.779668929,2.975429818,4.179465223,,3.118074411,4.052998456,3.619193624
3.295401031,4.798444159,7.100501866,,3.280344757,4.350912994,6.458226077,,2.839938585,3.072024974,4.72729121,,3.38805589,4.262425325,4.279018239
3.55376527,5.333174061,7.504907968,,2.742688066,3.807005178,5.613629026,,3.120562112,4.351684798,4.32545878,,3.585797451,4.753300821,4.524171141
2.85216309,3.902388417,6.38629369,,3.520551705,5.520374634,6.727390071,,2.983516835,4.197874382,4.371975616,,2.940240372,3.219148121,3.525434856
3.474657108,4.607778599,7.243246874,,2.883504169,4.538010476,5.53050136,,2.893590817,4.010306298,4.331399496,,3.59200716,3.909627449,4.381808466
2.687782064,3.51422949,6.22591628,,3.816720151,6.0378195,6.644598634,,2.97961608,3.539824988,4.83521995,,2.784360879,2.953376055,3.449233172
3.03783986,3.77802298,7.081024988,,3.102406839,4.955919156,5.982807369,,2.548362974,2.594229861,3.875482495,,3.101889297,3.183687759,4.101510658
3.020839373,4.714785621,6.914461987,,2.830367258,4.599132831,5.720523236,,2.946936811,3.362926027,4.472625025,,3.070007195,3.98890688,3.984780718
2.613650085,3.429597241,6.156206219,,2.817493112,4.126805631,6.205322109,,3.100048028,3.872628807,4.37918203,,2.674699742,2.901101002,3.3380964
3.268228362,5.118814471,6.983254571,,3.105519905,4.71019208,6.18317443,,3.206406983,4.057892274,4.406916851,,3.33712453,4.416626795,4.102317813
3.198535685,4.760764927,7.13835806,,2.433583458,3.331316477,5.20059941,,3.038100873,4.03750939,4.643858919,,3.281904225,4.072658268,4.216691075
3.184154495,5.224348275,6.879735183,,3.171085574,5.655475277,5.775815703,,2.918851106,4.027380943,4.478662104,,3.220534058,4.432817449,3.954805301
3.145794101,4.184785651,6.355130436,,3.182613632,4.872492669,6.056793044,,2.908413016,3.206325411,4.462945661,,3.246685494,3.577963128,3.573797981
3.144856608,4.651071933,6.469661433,,3.107300005,5.222761906,5.848966153,,3.363183796,4.840381839,4.745158702,,3.184612614,4.152417039,3.731332807
2.960133148,4.139013519,6.701256091,,2.533518416,3.688386626,5.328146951,,2.828733336,3.172883531,4.022371748,,3.068748252,3.446300695,3.755417892
2.877784079,3.697606309,6.492864123,,3.403962819,5.25793772,6.344061874,,2.501033278,2.827471226,4.188393288,,2.932797524,3.157221896,3.663836822
2.757699434,3.51305274,6.35362566,,3.037136334,4.519009475,5.787069422,,3.291732274,4.909984058,4.736791177,,2.840768251,2.921099358,3.452089114
3.188749765,4.45043438,7.381748753,,3.443628128,4.892372267,6.694820366,,3.648574182,4.49340574,4.811600629,,3.223210967,3.885510954,4.377643625
3.353249061,5.005856172,7.167873617,,3.348244592,5.153069505,6.39859612,,3.660124022,4.328929539,5.311551233,,3.430231215,4.460327714,4.355609095
2.765022754,3.750260194,6.370856538,,3.217943777,4.786710731,6.245770128,,2.579241204,3.089153774,4.352110552,,2.843306642,3.172615202,3.561798002
2.955678091,3.810238702,6.762363293,,2.650153879,3.430830364,5.618863275,,3.039232203,4.239328683,4.963711699,,3.037958743,3.195209547,3.757684274
3.136616442,5.126422073,7.179683975,,3.400547805,5.088360647,6.321360278,,2.921677747,3.713121116,5.098487147,,3.212221318,4.444356559,4.181089199
3.569930849,5.292584659,7.485443954,,3.179308226,4.677900901,6.017693575,,3.356087174,5.125729866,5.163002034,,3.683610383,4.69287573,4.624363183
3.095120786,3.90806663,7.034110897,,2.880857947,3.906662901,6.147958653,,3.264454776,4.293571893,5.189508248,,3.201431163,3.380741352,4.143336782
2.472020057,3.532345522,5.966052819,,2.68908074,3.965571619,5.436075457,,2.628282458,3.030024151,4.03494798,,2.525066205,2.858773096,3.147892133
2.834977637,3.680879807,6.853094447,,3.254011338,4.834655961,5.767409495,,3.363766413,4.332508258,4.703528625,,2.885768705,3.140049492,3.876034214
2.790647318,4.235204619,6.584442318,,2.633299485,3.62229249,5.329193475,,2.772555804,3.105897801,4.736610452,,2.886327508,3.509270886,3.737796209
3.43860222,5.788299917,7.11403418,,2.813568686,3.694729249,5.465436415,,2.746868964,3.159698824,4.896591972,,3.540429386,5.080490326,4.280007032
3.399584673,4.934472262,7.120532974,,2.817420327,3.87706161,6.285765611,,3.84559834,4.992398288,5.599340144,,3.50687961,4.47608325,4.287293705
3.10271232,5.26987655,6.6924169,,3.40588682,5.584479669,6.244138423,,2.834797269,3.29776213,4.374324085,,3.184268975,4.673320052,3.938114743
3.348796749,4.322207588,7.124156349,,2.75187511,3.885349116,5.491281556,,2.856838572,3.707751106,4.232481648,,3.43652305,3.749551535,4.227836101
3.740705448,5.016213841,7.590860605,,2.909271279,4.878885076,6.015902382,,3.020184218,2.991643904,4.815132932,,3.813936311,4.475967724,4.647650352
2.920047882,3.934228431,7.0694196,,3.34195779,5.160244189,6.094968108,,2.687182615,2.99083557,4.497644577,,3.022920357,3.312338709,4.112044611
3.406858214,4.599476471,6.51049483,,3.690809667,5.055128224,6.796851955,,2.983735781,3.722484444,4.638508026,,3.48152191,4.121692517,3.790048201
3.377083157,4.738120226,7.205010239,,2.712196485,4.326517989,5.480193737,,3.681900895,5.070637167,5.026892502,,3.491842494,4.092894277,4.324381134
2.869758333,3.721672252,6.493414462,,2.574847217,3.669250185,5.549560869,,3.098324373,4.306147651,5.144311429,,2.931692841,3.13675656,3.61417805
2.775698465,3.81063384,6.127944667,,2.810938366,4.476079518,5.569216634,,2.952415308,3.403964655,4.152879915,,2.880480703,3.20259343,3.384785902
2.645324874,4.427325718,6.069494734,,3.217522907,4.556374197,5.860070161,,2.477565179,2.894969712,4.004198625,,2.715759309,3.838027553,3.299292372
2.759411947,3.768759105,6.25462676,,3.428196948,5.43040959,6.314807038,,2.607171419,3.000071265,4.323631948,,2.852222663,3.219714885,3.490471579
2.866363053,4.031386944,6.274156697,,3.282744121,4.407832531,6.107417636,,3.156717844,3.651895993,4.417804989,,2.911252269,3.522405008,3.470508485
3.564564086,5.282190134,7.40328826,,2.716785645,4.523729361,5.433661214,,3.310064094,4.155175751,4.806744956,,3.636075679,4.579818432,4.449355388
3.145167245,5.086709765,7.023291026,,3.084363346,4.586569513,5.957681353,,2.651340328,3.425400586,4.204363432,,3.215978436,4.402002203,4.14099039
2.89352544,3.768446173,6.309731178,,3.197574487,4.833564762,6.331142404,,2.441893966,2.893308859,3.784191115,,2.99349315,3.202325984,3.592636703
2.75145858,3.9042233,6.558692295,,2.787368719,4.067236747,6.009517692,,3.315104792,4.697170548,4.522812944,,2.800951278,3.318978266,3.63660595
3.056280601,4.581532078,6.855460222,,3.055396884,4.115325323,5.755503451,,3.293364028,4.185502678,5.389485791,,3.152499111,3.938783392,4.008409631
3.118709912,4.511350285,7.185705656,,3.220628378,4.686564692,6.475133112,,3.2632338,4.040998954,4.660174851,,3.189445334,3.880458233,4.206011498
3.087253708,4.353701995,6.516483227,,3.261320832,4.582469639,5.929024169,,2.929555714,4.137256139,4.533670683,,3.169489902,3.594585327,3.660587902
2.84393942,3.537910254,6.608949735,,3.578068444,4.514989743,6.687868493,,2.610593412,3.039553822,4.133457601,,2.931717025,3.010230696,3.790949998
3.431362887,5.435521532,7.108796608,,2.880576391,4.58955507,5.677086731,,2.680689679,3.31061996,4.458318982,,3.47414725,4.891041353,4.210171796
3.243495842,4.96009888,6.648804938,,2.708249949,3.968474958,5.471363742,,2.874831315,4.435483263,4.419250985,,3.311801301,4.307447037,3.844375886
3.199928475,4.540626223,7.410180098,,3.137709699,4.432394322,6.377145486,,3.460257258,4.458404349,5.402703164,,3.267340327,3.907371026,4.405677452
3.303912289,4.95939242,6.978050289,,3.454611261,4.610379811,6.224416976,,3.100610028,3.634312355,4.565065259,,3.378241947,4.368931234,4.041304739
3.114438796,4.981703711,6.65576056,,2.757284405,4.130106477,5.390946974,,2.852203194,3.459471096,4.729579597,,3.169813602,4.324943068,3.844494787
3.193000709,4.642639087,7.085957948,,2.693662302,3.425025258,5.469233041,,3.169420627,4.317239588,4.928123437,,3.25476323,3.987396406,4.091169018
3.214974518,4.454769136,6.776851233,,3.228031265,4.438105269,5.887575484,,3.511228327,4.511478357,5.431201243,,3.334395225,3.803840789,3.961461793
3.020745773,4.499343257,6.710248244,,3.311210229,4.498917724,6.323430628,,2.940652275,3.267360406,4.225985828,,3.104472625,3.907728102,3.92066351
3.118774561,4.425385453,7.313442495,,3.29250087,5.218901994,6.186540677,,3.517048423,4.866264898,4.904171312,,3.201122681,3.781263812,4.336319242
3.243912911,5.452030225,7.134787161,,2.896591856,4.260403978,6.109244673,,2.613321798,2.810679633,3.965953882,,3.271325221,4.782705735,4.221474245
3.471962288,4.857867866,7.419692865,,3.773583621,5.828670668,6.532088658,,3.305776109,4.800913648,5.136268909,,3.571362034,4.353672972,4.543122291
2.782705139,3.890950849,6.462692775,,3.510014108,5.736173142,6.308740154,,3.311183008,3.643338965,4.74151323,,2.883986567,3.346703853,3.702730523
2.781660326,3.519686655,6.809642191,,2.777364146,4.269421113,5.680674405,,3.438074165,4.343463633,5.26480747,,2.894282143,2.892045188,3.84398864
2.915594435,4.084442562,6.282039564,,3.22310602,5.170820397,5.934392813,,3.387175513,4.206554431,5.223464258,,3.030025998,3.396819374,3.464683383
2.553908632,3.813848669,6.03817633,,3.274002043,5.783541845,6.113236801,,3.249631237,4.340039592,5.099777226,,2.645446956,3.207229237,3.250004663
3.599709049,4.676678055,7.426063762,,3.260532076,4.475523744,6.447806685,,2.795845967,3.284097351,4.527292346,,3.687342141,4.203788482,4.632330225
3.397158842,4.797429318,6.857987116,,2.545884647,3.581225075,5.252501128,,3.075630769,3.892265429,4.975910211,,3.477577691,4.236924556,4.1022288
3.204938789,5.567264521,6.741326866,,2.543287272,3.044932975,5.145363548,,2.977151449,3.447258695,4.208654451,,3.248227165,5.032341143,3.945681925
3.523836542,4.716962278,6.996515084,,3.250032349,5.10129092,6.411489385,,3.200255393,4.394728425,5.009048804,,3.623521881,4.164964245,4.156533536
3.389141645,4.946730802,7.336670004,,3.274230707,4.811048623,6.222759191,,2.880336911,3.520698451,4.296770991,,3.482926475,4.44695492,4.432538172
2.816544673,3.847531522,6.753112108,,3.044600492,4.473152304,5.926059826,,3.26870294,3.94180144,4.928972919,,2.864470409,3.218448318,3.779482432
2.919965106,4.589666408,6.335474698,,3.059184709,5.204603892,5.850231587,,2.853624615,4.112462057,4.302112911,,2.969185213,3.857365534,3.54585342
3.079596617,4.159364878,6.707747851,,2.909336194,4.223555991,5.535852814,,2.965856627,3.525816387,4.901591429,,3.183300357,3.699348833,3.869290531
3.404119555,5.632812661,7.541044982,,3.494280466,4.993666645,6.645843226,,3.302454833,3.689829243,5.246696752,,3.471910684,4.985830401,4.61087766
2.937255774,4.710368816,6.587223012,,3.119770662,4.33929953,5.810410183,,3.081694579,3.310897736,5.276834777,,3.024678113,4.115870056,3.796612204
3.163488135,4.247133311,6.734071777,,3.482092596,4.772364777,6.001279092,,3.244378999,3.122371853,4.96223318,,3.254604116,3.669627029,3.917319672
3.050751669,4.865747915,7.065920754,,3.130852884,4.569565058,6.23860707,,3.362876272,4.205378902,5.114306755,,3.127764126,4.115415744,4.137321229
2.587200977,3.514845719,6.025115558,,2.945503476,4.543612737,5.584427108,,2.78806666,3.082427581,4.508388876,,2.657187987,2.858425978,3.196717843
3.821916816,5.346724963,7.588965863,,3.570701795,5.118229527,6.498301017,,2.977481346,3.081655192,4.224784318,,3.91643267,4.865367147,4.747971244
3.523516765,5.408694885,7.442014054,,2.901689361,3.505063932,5.974929439,,3.915923887,4.21905672,5.6486904,,3.596142544,4.659636759,4.485142643
2.459763372,3.202462634,6.073274593,,2.565755929,4.175475676,5.368095225,,2.688796422,3.034927031,3.834762986,,2.514591844,2.625227972,3.226780539
