New Haven Low Demand,,,,Fresno Low Demand,,,,Atlanta Low Demand,,,,Miami Low Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
5.947436026,5.549405879,69.2642555,,6.192722067,6.204580959,66.33767423,,5.7752003,5.439381916,19.85421193,,5.909963,5.910704101,17.63387053
5.646684743,5.434084458,65.49854354,,5.600701283,5.165169618,65.81526494,,6.650187302,6.029278175,23.75158564,,4.937776218,4.597114913,15.79622653
5.58729165,5.240669665,66.863437,,6.122368371,6.534020495,67.63088111,,4.579063301,4.125351922,16.45630853,,5.662174744,6.13536059,18.01241475
5.27697099,5.456016409,68.1895696,,6.319029944,6.042095436,66.11029082,,5.651924561,5.389199751,17.98575038,,5.790420731,5.580788873,16.25904011
5.992573741,6.291325181,67.54285753,,5.822046416,4.999897698,68.42210747,,5.053840048,4.936127153,17.42463152,,5.50243682,4.65300059,18.93932692
5.600376162,5.604128179,68.17326397,,5.759322375,5.077730714,65.4461152,,5.507454715,4.947238412,21.26329634,,5.131425163,4.566181331,16.01531005
4.895919101,4.592428581,66.23644875,,5.411506357,5.830627809,63.96905737,,5.098394756,5.154701446,17.86860402,,4.95121758,5.372601132,14.72312225
5.993074335,6.316128585,66.05468179,,6.477584214,6.474080163,66.26981601,,5.49935811,5.3372708,18.93281512,,5.857761494,5.914162927,16.18253207
5.270904538,5.387108867,66.88970754,,5.308235405,4.765455115,62.63256076,,5.571125454,5.549990294,17.27625265,,5.086446328,4.490607704,15.20042029
5.805613056,5.847034255,66.94157855,,5.980121238,5.324157024,64.39111678,,4.891745681,4.973916948,17.23887003,,5.654312302,4.90924499,16.43418062
5.076666759,4.848256992,66.56898164,,5.913862231,6.281551468,64.45924458,,6.48924882,5.532309365,22.67221688,,5.68246327,6.022585943,16.14565827
5.018321266,4.617277543,68.4174604,,6.524015622,6.205726385,67.4184003,,5.717308369,4.53121808,21.1580319,,6.263554972,5.855426058,18.24635215
5.72434179,5.42805314,66.47344305,,5.646292519,5.577573165,63.9627884,,4.910457563,4.306389409,17.72012937,,5.338530461,5.218022601,15.07775834
6.296354467,6.102465116,69.28929424,,5.66701156,5.434750215,63.1291882,,5.121894936,4.287033374,20.79851494,,5.137440573,4.943225151,14.59599464
4.739965774,4.37640149,66.44527846,,5.221710615,5.021422653,62.5420161,,5.18986729,4.939826412,17.93057375,,4.673039454,4.501148033,13.76483194
7.277858832,6.819450447,72.10843753,,8.116641305,7.520863669,68.20669424,,6.425042203,5.684798039,23.78598454,,7.823537009,7.114022921,20.58336494
7.056389854,5.969658312,70.82338599,,6.11399782,5.40392023,66.7477379,,5.717301927,4.924955479,19.93352168,,5.705282172,4.987852355,17.52311034
5.845084382,5.823852468,69.49641668,,6.624570876,6.156736018,66.51572194,,7.380678659,6.548118368,25.72062283,,6.04209166,5.617780214,16.74130377
5.688823079,5.762215068,67.39777483,,5.230776671,5.074380432,63.46604716,,6.000933932,5.914948073,20.25537435,,5.0505057,4.823021976,15.35748011
7.835704128,6.717156068,75.62514155,,5.583292769,6.425546492,64.20382946,,4.510600258,4.197159026,17.20419913,,4.924299523,5.914938474,14.4890914
5.382915234,4.779889679,66.66072373,,5.296930032,4.62656962,63.65090003,,6.865354311,5.427980132,22.66475862,,4.806390004,4.164727232,14.05626209
5.506457122,5.453316102,65.91964515,,7.171709651,6.554875885,67.85053707,,4.850366882,4.298111567,16.88763012,,6.465928002,5.931202764,18.02279528
6.802963686,6.256595538,73.31144591,,6.054344335,5.761763063,65.85488883,,6.112123182,5.526031366,19.48190304,,5.735567015,5.392210188,16.66425953
5.922592376,6.380665476,67.43824069,,5.870986446,5.131652744,66.94244437,,6.129594891,5.348601137,20.36775842,,5.410819098,4.712016841,17.36523337
5.516976648,5.250914019,69.17745498,,5.322784091,4.475158609,63.69378771,,6.516945794,6.045067933,21.67454722,,4.794662492,3.971963822,14.25087736
6.46737335,6.333954817,71.30861809,,6.271853062,6.289166473,66.30422237,,4.959586389,5.011469637,17.31546054,,6.091778633,5.978748641,17.60038732
5.03096983,4.38189084,66.12451425,,5.616838291,5.325151758,63.40647403,,4.820703158,4.882859417,17.11045004,,5.18727521,4.893783631,14.97804055
5.737897749,5.2130819,69.20732805,,5.410683064,5.464598591,62.35574208,,5.949878906,6.042811303,19.2812928,,5.134291912,5.129550565,15.16609924
6.884595372,7.12934749,72.03034287,,7.137649663,5.652348346,70.56124655,,7.167955009,6.139479678,24.83377216,,6.593373869,5.134224608,20.28715784
5.202350421,4.443229415,66.56952848,,6.856031278,6.187755081,67.26908272,,8.361163985,7.918027607,26.69874742,,6.546670184,5.826411442,19.83773815
6.023515391,5.017613038,70.95963404,,5.931982509,6.168976468,65.90810599,,7.464786017,7.188421773,25.16109496,,5.762762609,5.883608207,17.38060377
5.524148829,5.437927485,67.6878191,,6.307242616,6.489044718,66.05090756,,5.974669766,5.826522049,19.61652502,,5.727555521,5.939960848,16.07753423
7.413673837,7.188611997,71.9520412,,5.737975021,6.015486645,63.98866291,,7.341302678,7.568196381,25.53274582,,5.611029267,5.746739381,15.66579729
5.35052171,5.431975656,65.98059364,,5.722051166,5.979090954,63.51274478,,4.566365926,4.217116773,17.77749021,,5.140720514,5.440749235,14.68205714
5.136190232,4.788694395,68.59623573,,7.797386128,7.774572483,69.59103777,,5.592575871,6.621726434,18.39154096,,7.395913597,7.328305358,20.42434561
5.620674764,6.468077704,65.32170365,,5.89960633,5.633267255,64.67386714,,5.794883058,5.131829933,19.37618271,,5.451093874,5.208111455,16.36528745
6.274650495,5.64787657,72.87816597,,5.330327714,6.055780431,63.53165566,,5.160508168,5.073973539,18.46528299,,4.934414507,5.67609577,14.97762925
5.881874247,6.222217617,67.16491826,,5.34443989,4.937841345,63.7791088,,5.261100854,4.49460937,19.09934257,,5.093773394,4.61658401,15.26378418
4.692505054,4.774518066,64.43434403,,6.981363738,7.123251725,67.87783486,,6.170724974,5.261155403,22.33728786,,6.335413312,6.565582875,18.18389041
5.531886643,5.547392447,66.85648188,,5.307838292,4.421173861,63.37176524,,5.357635549,4.990957602,17.68103489,,4.980954853,4.07975547,14.65577923
6.351440838,5.954112018,68.33005944,,5.673775908,5.926389823,63.30031409,,5.967280316,5.594470296,19.82520773,,5.16425028,5.420946071,14.90310403
5.522397989,4.67049484,65.77603849,,6.082571049,5.468238275,66.13261474,,7.238342416,5.830502807,25.51510957,,5.882113651,5.180589703,18.33189622
4.920543783,4.905103511,66.29353658,,5.656869717,5.466808522,63.98358514,,5.343625606,4.779601043,18.36892983,,5.456642014,5.17604044,15.66186643
5.815886172,5.001285602,66.93390669,,5.844582598,6.004877962,64.3776476,,5.670194874,4.789274653,19.27738496,,5.420675567,5.540446512,15.09039807
6.210671616,5.945758854,69.93386425,,6.508990317,5.90946368,68.81078622,,6.529316545,5.185322875,21.92631122,,6.083357106,5.456627535,19.14750078
5.435573342,5.185807144,66.92592171,,5.381943157,5.160516291,63.65791223,,5.415649704,5.646548544,19.5563548,,5.078255117,4.797413257,14.80050666
