New Haven Medium Demand,,,,Fresno Medium Demand,,,,Atlanta Medium Demand,,,,Miami Medium Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
4.09529966,4.32369498,9.60584874,,4.19756054,5.30800904,9.37505975,,4.1242386,3.77391835,5.07571713,,4.29930148,4.71962778,4.28242117
3.7680843,4.67455557,9.62066696,,4.6445067,5.00831327,9.86778584,,4.54448033,3.98939211,4.73383242,,4.75844813,4.48461582,4.80036097
4.03380654,4.53214744,9.76244263,,4.2454572,4.57049226,9.464402,,4.5280109,3.95710492,4.64879782,,4.38560148,3.91422197,4.34762254
3.87176648,3.89878966,10.1265753,,4.34135485,4.74223955,9.62708347,,3.82352651,4.00039589,4.76349643,,4.41965164,4.07302053,4.51412564
4.04760514,4.36205645,10.4560025,,4.71570652,4.75558546,9.78099882,,4.51635847,4.57833691,4.97761792,,4.85077311,4.17236739,4.82438338
4.1366262,4.69495364,10.0047679,,3.93341774,4.76356483,9.04207053,,4.16675941,3.8725647,4.93400324,,4.04750777,4.06268019,4.01717436
3.80817745,5.16257476,10.0039165,,4.35935763,5.76008034,9.2919631,,3.94649185,3.21311508,4.60992759,,4.51649013,5.05175672,4.36765005
3.65014393,3.49603622,9.33616287,,3.91311121,4.33155697,9.06354224,,4.81456333,4.81489997,4.87000196,,4.04042079,3.75936813,4.04261019
4.30731305,4.72706925,10.1465008,,3.54148997,3.72616654,8.96318627,,4.1431766,4.01093734,4.9557365,,3.65312805,3.09067502,3.90556191
4.03911803,4.67181869,10.5162897,,4.1098479,4.47001326,9.12477737,,4.45852611,4.15143422,4.47928978,,4.21047024,3.78344017,4.07980196
3.92949936,3.78172633,9.81967098,,4.24280038,5.35429079,9.56509653,,4.0592768,3.53059056,4.56386509,,4.39059149,4.84873543,4.61970899
