New Haven Medium Demand,,,,Fresno Medium Demand,,,,Atlanta Medium Demand,,,,Miami Medium Demand,,
5.02272424,6.05724175,10.3969624,,4.2267054,4.97228992,9.57016939,,3.79054943,2.9910956,4.72089129,,4.36829797,4.2776258,4.57449864
4.14763945,4.93635703,9.82035148,,4.031107,4.58536571,9.20295611,,4.45879279,3.80530007,4.88949125,,4.15689656,4.06273128,4.22452221
3.92652436,3.83536111,9.75653251,,3.96305817,3.74629699,9.54524855,,4.52847258,4.30625774,5.36180437,,4.07014954,3.18826355,4.3843654
4.86825626,5.47345699,10.575343,,4.30887093,5.38057981,9.59849508,,3.58521121,2.9749071,4.32322797,,4.45369426,4.76318323,4.63884415
4.24967822,4.86072462,10.5034183,,4.32297724,4.76746775,9.66494176,,5.04150287,4.74925519,5.734371,,4.45590033,4.04076787,4.56325342
4.04034334,4.4031188,9.81685231,,3.73145,3.83539607,8.88168994,,4.78589427,3.77491039,5.58494999,,3.85732308,3.28999779,3.85638758
4.37123677,4.52255384,10.4859795,,4.51667024,4.7480334,9.99793474,,4.1750568,4.0995028,4.95496024,,4.62687716,4.23430696,4.95676882
4.22943755,4.82912947,10.0550776,,3.82243929,3.64855824,9.31005576,,4.30175309,4.13145771,4.81678113,,3.98188163,3.0607819,4.2303085
4.54176325,5.72830671,10.574199,,4.19563169,4.3597482,9.53638072,,4.4862274,3.91627393,5.93476394,,4.3329504,3.68241527,4.44044859
4.23418186,4.51238112,9.81308933,,3.89027081,3.81606105,9.09994409,,4.20740472,3.46543363,4.53857654,,4.01589943,3.28334288,4.1253973
4.11363811,4.02512649,9.52696477,,3.65634092,3.48486589,9.32190451,,4.32525528,4.1042487,4.83105008,,3.75955693,2.94146982,4.17868819
4.28641578,4.60620576,9.83013357,,4.08268254,3.72186893,8.77824058,,4.54715081,3.9179453,5.45550341,,4.2501848,3.14911666,3.7103337
4.41691603,4.7207988,10.271142,,4.09495464,4.72897918,8.96286613,,4.54204831,4.83618094,5.06411271,,4.27024137,4.0456966,4.00980997
3.8241068,3.71473597,9.43224916,,4.11084437,3.94107657,9.37288555,,4.00634096,3.69345192,4.87869807,,4.29483895,3.3965682,4.30693721
3.60455614,3.9825767,9.56072434,,4.17771228,4.72950634,9.07592145,,4.42519171,4.45798689,5.5060177,,4.29246493,4.10044803,4.12294153
4.28801741,5.20200811,9.74807592,,4.06394154,4.26531404,8.81703345,,4.07248972,2.91617536,4.19894806,,4.23845851,3.7481711,3.83088187
4.11553269,5.05779437,10.3361038,,4.1747541,4.21789237,9.2903742,,4.18827973,3.4861877,5.04376661,,4.25875401,3.63478499,4.23101821
3.84195583,4.25269201,10.0812263,,4.06744889,5.0749134,9.56197569,,4.96515558,5.27023575,5.95186312,,4.20155558,4.37526014,4.57338739
4.20478256,5.12952383,9.85953299,,3.880062,5.03114061,9.02185458,,4.01103638,3.11141724,4.48481175,,4.01112205,4.336538,4.05243677
4.0020415,3.99386852,10.0338645,,3.99584022,4.38436596,9.19042992,,4.36589823,3.18427052,5.16608037,,4.11390846,3.82218858,4.13498969
4.63115277,4.32319459,10.2374013,,4.20804225,4.90272002,9.24200575,,4.04369492,3.90852333,4.93958869,,4.32742388,4.23278859,4.19463827
3.79368521,3.62831983,9.67760271,,4.23182507,5.19295664,9.12349394,,5.11835549,4.93725618,5.8851984,,4.37627759,4.54785232,4.2024975
3.72725078,3.88312252,10.0329866,,4.41326445,5.09863677,9.78430881,,4.11585608,3.76468561,4.41485609,,4.55628797,4.49724344,4.69742222
4.75650474,4.84257321,10.824215,,3.75605653,3.80747753,8.83124926,,3.85533227,3.10628696,4.7637583,,3.93542667,3.22239018,3.84431173
3.78462026,3.54418574,9.29780838,,3.45189569,3.85763253,8.74959077,,4.58899769,5.16438645,5.05933477,,3.5566602,3.14927,3.71850198
4.47821864,5.92256527,10.1709178,,4.23049634,4.39743819,9.58261583,,4.20333124,3.3673283,5.16420688,,4.35412371,3.84737416,4.50557165
4.19983728,4.59738247,10.2787157,,4.6832597,5.33034027,10.1054805,,4.70741747,4.73417612,4.86728397,,4.84456214,4.82024301,5.12061827
3.79869022,4.0478878,9.8441367,,4.47439096,5.21109693,9.26577555,,3.71917463,3.37675186,4.33510277,,4.58625572,4.58283113,4.25081684
3.72623589,3.91279222,9.30956642,,3.80382228,3.63240187,8.92040547,,4.28965195,3.86875943,4.7203589,,3.90794887,3.0352667,3.80426388
4.29961382,4.74838648,10.4561548,,4.65126951,5.57622267,9.47665531,,4.60780965,4.02712529,5.3464271,,4.73738552,5.04023775,4.48771489
4.38383993,4.17315843,10.479622,,3.63505073,4.22833357,8.88439245,,4.38586944,3.31782324,4.74243676,,3.71164543,3.56232916,3.8017536
4.11769777,4.26336416,9.60491427,,4.03205498,4.62096294,9.13188858,,3.91071412,3.41241646,4.59133499,,4.14188473,3.98193113,4.03832662
3.995759,3.48251684,10.1597679,,4.35771301,4.35358306,9.09711633,,4.31984188,3.20670396,4.9639082,,4.52277456,3.86100967,4.05179418
3.92489856,4.22664876,9.47629037,,4.23115213,5.0042954,9.39952734,,4.23944146,4.12560646,5.05428803,,4.33378048,4.46288056,4.34183792
3.684605,4.01810719,9.2843316,,3.56286309,4.11275472,8.73542068,,4.18495957,3.84037899,4.88840752,,3.66774347,3.49646638,3.61745227
4.43278159,5.19184792,10.12766,,4.1078287,4.5352763,9.17170874,,3.88479528,3.43724194,4.35978063,,4.24326416,3.94618183,4.12494213
4.77979128,5.54565665,10.8987593,,4.86778463,4.64602028,9.85967983,,4.17777451,3.67628143,4.66896081,,5.06378944,4.14942635,4.88079039
4.84093895,5.08929804,10.274139,,4.38565079,4.82219499,9.18850921,,4.43578648,3.86029904,4.88116032,,4.46426119,4.25466098,4.15550161
3.82376481,3.9747567,9.80289824,,4.76806363,5.44300885,9.73168739,,4.28874107,3.57129746,4.80622521,,4.89816734,4.72481408,4.68610917
3.97718685,4.13515139,9.59336685,,4.01867921,4.36401605,9.39010912,,4.69170213,3.85814131,5.65134911,,4.13043543,3.69615058,4.33671586
4.7101696,5.40515187,10.4206144,,4.09698355,4.83716974,8.94664603,,4.48667905,3.87019734,4.57786026,,4.26039076,4.25017054,4.02919307
4.64559789,4.65389589,10.466308,,3.64718964,3.51729112,9.04311382,,4.64030463,4.69530029,4.93530763,,3.71234274,2.96333714,3.90045019
4.39082816,4.89101304,10.5048618,,4.96153163,5.79297691,10.1853852,,4.21634928,3.1784136,4.83506457,,5.11452199,5.21102888,5.14763399
4.27748591,5.47338171,10.1575185,,3.68641083,4.00460771,8.68843244,,4.81571275,4.88676851,5.93355693,,3.82558895,3.44366333,3.63614781
4.13226925,4.80423438,9.7838625,,4.31572874,4.14206641,9.47501779,,4.28541525,3.22291503,4.42146101,,4.45429925,3.59495363,4.45669046
4.34514563,4.46603847,10.3644963,,4.18395548,5.41678691,9.18574851,,3.93526031,3.27415037,4.62233899,,4.29483639,4.71614562,4.15568211
3.76443123,3.57611118,10.1233915,,4.23195764,4.82916268,9.81159958,,4.43017908,3.1933449,4.60641255,,4.33591163,4.13925395,4.73244162
3.40664937,3.39202891,9.4133102,,3.85379318,4.27398368,8.85271813,,4.4726128,3.52672937,5.3227744,,3.98003278,3.73849347,3.85585652
3.90838543,4.41561653,9.71712777,,3.49976895,3.17062634,8.93678774,,5.07036272,4.63934609,5.44639386,,3.64031173,2.62929239,3.83006654
3.98255801,4.07101635,10.0618206,,4.4541744,5.54824602,9.75916137,,4.38291453,4.41996745,5.15463932,,4.58212261,4.89874621,4.75022739
4.17405078,4.71010259,10.0806955,,4.57124198,5.0289386,9.93017541,,4.15189528,4.18584476,4.61537121,,4.72793756,4.55200376,4.93964495
4.28849552,4.53298303,9.92505864,,4.03495281,4.53558572,9.20837174,,4.23766859,3.40192188,4.45464549,,4.12688913,3.89613439,4.12247302
4.4435136,4.84314443,10.0048222,,4.52252058,4.86974147,9.60545535,,4.56332048,4.49225003,5.15990348,,4.63458169,4.25739479,4.57142206
4.1232313,5.10579726,10.1657868,,3.62277524,4.38677949,8.94371892,,4.09492671,4.31841891,4.87518139,,3.73438954,3.78747474,3.87596749
3.73367677,4.19228711,9.59985386,,4.33168069,5.06747755,9.70634842,,4.06339033,3.83453475,4.83628101,,4.45052184,4.50104447,4.68426145
4.01521712,4.50522893,9.69310458,,3.99951231,4.60268076,9.43332017,,4.97818131,4.96210043,6.07779293,,4.13255825,3.99659855,4.42812285
4.50602234,4.0370195,10.6128383,,4.31782302,5.70755225,9.28003747,,4.03437058,3.24429231,4.3507915,,4.41989155,5.05566756,4.21928926
3.96995997,3.93030698,10.1381174,,3.8770301,4.56950509,8.96988363,,4.18557586,3.32699472,4.35023547,,3.99311537,3.95175181,3.94401824
4.45500851,4.23681506,10.3757304,,4.47578438,5.5100563,9.76576759,,4.38712063,3.56541305,5.56907661,,4.63684631,4.79915329,4.74364112
3.58725073,4.28845693,9.72742878,,3.90641759,5.19405366,9.25527928,,4.24503736,5.10591611,4.94860785,,3.97826261,4.49241347,4.21573422
3.99980301,4.49690785,9.64456037,,3.83337129,4.18537292,9.16611226,,4.13470656,3.36813986,4.73043337,,3.93068661,3.54152298,4.17596984
4.77601913,5.48389999,10.728579,,3.58433939,4.10389083,8.88460972,,4.35272206,5.16997219,4.90375513,,3.69201183,3.5847002,3.85815054
3.95664938,4.23215141,9.81852074,,4.18698339,4.82891976,8.99769643,,4.78151463,3.66681129,5.22840853,,4.34033642,4.19610108,4.01731868
4.23351014,4.62627446,10.2261366,,4.21079776,4.27672327,9.7956976,,4.36037451,3.69785891,4.96670535,,4.30738447,3.72048217,4.67842602
4.99501635,5.42375019,10.9636523,,4.28408721,4.25576938,9.2940404,,3.69883086,3.20760989,4.28815673,,4.36253036,3.70498159,4.24522368
4.41946128,5.40783342,9.9033596,,3.77287413,4.22580108,8.91965939,,4.67973367,4.24791263,5.2904297,,3.86841364,3.5444701,3.81795517
4.48501971,5.35945587,10.9648393,,4.18057903,4.67720871,9.53873273,,4.04205885,3.09095621,4.81633946,,4.29498155,4.20771888,4.56775447
4.193133,5.06296267,9.86395258,,3.86881741,3.92027194,9.20100431,,4.27018812,3.17993171,4.89841957,,3.98501842,3.42459492,4.14047805
3.915313,3.79912116,9.54049945,,4.29573518,4.69387049,9.36944555,,4.47426074,3.97842874,5.64244405,,4.47232307,4.20784295,4.40872191
4.2538755,5.68388236,10.2590192,,4.46630149,5.14259989,9.26029401,,4.59888327,4.23285166,4.78173178,,4.57126584,4.48021622,4.25112198
4.16403872,4.50269339,9.75250821,,4.65738242,5.606135,10.124878,,4.11659479,3.61488343,5.2332345,,4.73660785,5.01209786,5.05713014
5.04060194,5.51631085,10.8595397,,4.55589689,5.10786325,9.48251898,,4.23567215,3.9954089,5.124769,,4.69112777,4.46842163,4.5335753
4.22796635,4.88179079,10.8104569,,4.59002549,6.04528407,9.67959448,,4.31978224,3.19575647,5.61877299,,4.75237273,5.40598351,4.76284951
4.47491004,4.87800865,10.7470005,,4.86726709,5.29568838,10.134278,,4.45987826,4.60863281,4.96297492,,4.99481997,4.64012275,5.14314785
3.95799617,5.04599083,9.69997422,,4.58013904,5.25383505,9.47793132,,4.19087465,3.43699057,4.50360333,,4.65270461,4.63623975,4.44942349
3.94941721,3.74122014,9.60552197,,3.66296811,3.61930164,9.06027572,,4.33576825,4.23004147,4.79080705,,3.75233911,3.09322877,3.99916621
4.67093769,5.08436707,9.821742,,4.32113636,4.8700268,9.09955669,,4.52100565,4.2200318,5.49891122,,4.48212221,4.1586433,4.0524393
3.73913859,3.93674677,9.41254997,,4.38090549,4.70603883,9.8179434,,4.72955308,3.8664553,4.86814749,,4.5049807,4.16650215,4.78918039
4.45409852,4.79543909,10.3279405,,3.86520821,3.35996943,8.96261523,,4.37821304,4.31427639,5.48704926,,3.95994152,2.85215799,3.89935516
4.31724525,4.6507506,10.0454061,,4.12401681,3.95254865,8.8926163,,4.4872096,4.80903521,4.96039779,,4.28807841,3.33187285,3.85722228
4.3978087,5.68221706,10.3902441,,3.89732836,4.37511852,8.96920285,,4.31089459,3.35259367,5.22115993,,4.0233494,3.81034176,3.86838317
4.23635738,4.57948031,10.0092649,,4.62956586,5.05267858,10.1126503,,4.95051504,4.97340642,5.07923712,,4.73830074,4.56125501,5.10201233
4.52243791,4.78934455,10.4649241,,3.88005444,3.98370464,8.89069716,,4.11336337,3.60308866,4.84463504,,3.98919099,3.3722986,3.81391396
4.72286105,5.13657212,10.9044677,,4.33859769,5.30238216,9.43436117,,5.03869424,5.5597428,5.73841623,,4.45816203,4.62676434,4.41114275
4.14330544,3.74810737,9.81940823,,3.82039264,3.75971159,9.04032591,,5.23676649,5.2078744,5.85841717,,3.92451339,3.23219646,3.95298395
4.63866396,4.46910583,10.3313825,,4.42228444,5.0223115,9.41401839,,4.2685505,3.68519918,4.43874094,,4.52308819,4.33432242,4.34227163
4.41492397,5.88287818,10.437946,,4.22227714,5.3202009,9.47439968,,4.0853761,3.91314375,4.57600133,,4.32306987,4.63353644,4.41092789
4.09121228,3.95739484,10.0284165,,4.06947705,4.39957912,9.65798527,,4.34906584,3.51900827,5.52030551,,4.19401316,3.8805767,4.59668567
3.64342026,3.77241854,9.57844331,,3.93788233,4.78540851,9.1398393,,4.53730086,4.48984693,5.216084,,4.06956403,4.10697283,4.12592199
4.51145527,4.83405483,10.606391,,4.55303599,5.37780139,9.6553713,,4.05349531,3.53788871,4.46195724,,4.65268716,4.78074711,4.63504382
4.83840061,6.04635365,10.5249499,,4.1977374,4.94201719,9.1363973,,4.64617108,4.74942319,5.57368684,,4.26672316,4.25318874,4.04142518
3.54630642,3.29845776,9.19230311,,4.3385616,5.00499334,9.70677647,,4.47098614,3.88046682,5.13335582,,4.46857192,4.44226234,4.70115034
3.87174953,3.97434195,9.89273514,,4.51834525,5.50415232,9.90822912,,4.71488118,4.60422782,5.17525055,,4.65188464,4.93365684,4.94630062
4.43415245,4.58137451,9.69206947,,4.05845637,4.09764932,9.04151236,,4.79802797,4.38661029,5.41815711,,4.15825521,3.42720925,3.94792694
3.56284606,3.78260592,9.49932302,,4.66783739,4.78214876,9.7982857,,4.3824638,4.43549167,5.31301938,,4.79730466,4.11176854,4.80395569
4.10718028,3.90574936,9.48217451,,3.78962095,3.74332082,8.92514198,,4.2750846,4.05518945,4.52167549,,3.90146955,3.14555781,3.87169158
4.01969636,4.82185337,9.59384272,,4.07357772,4.00161195,9.65477993,,3.86108947,3.94939596,4.97545256,,4.1739078,3.35804397,4.52398482
4.31665269,4.14818448,9.92754866,,4.02434285,4.90197179,9.52137059,,4.89779393,4.75852362,5.74289272,,4.10706139,4.16002709,4.40716345
4.45137921,5.52917083,10.444834,,3.66889558,3.61138462,8.8499641,,4.5459297,4.14912944,5.01509893,,3.73379915,3.08458779,3.76053568
4.24210228,4.30951815,10.0935883,,4.31557349,5.28231151,9.58650132,,4.49809988,4.54719383,4.84104139,,4.42846299,4.59731108,4.52447422
4.2108685,3.68654957,9.91458463,,4.26597889,4.98850366,9.71933505,,4.34156626,3.74766814,4.73568931,,4.38666759,4.26089938,4.63896959
4.07783967,5.08846014,9.82085041,,4.150318,5.3136017,9.33982385,,4.80860988,4.49574387,5.28529438,,4.2736927,4.60928174,4.37700699
4.39471221,4.95272301,10.4431575,,4.42331063,4.40965265,9.03984255,,4.67650191,4.51193261,4.95152769,,4.57852899,3.81197424,3.99600477
4.31255953,4.83754467,10.0993849,,4.1756407,4.86443251,9.19736882,,4.61868087,4.88926237,5.85550786,,4.22620043,4.32775771,4.15463381
4.5533584,5.36711017,10.4048986,,4.22317884,4.30003937,9.29084747,,4.20693875,4.34251663,4.91483184,,4.38518586,3.6617583,4.17785749
4.0314743,3.9754138,10.1046834,,3.92147462,3.84108779,9.141236,,4.3682099,4.36922395,4.81179172,,3.99063765,3.33153264,4.08600496
3.98310695,3.80788613,10.3206949,,3.94613188,3.78472323,9.009407,,4.36020728,3.76783416,5.1710652,,4.07444342,3.13712074,3.87460639
4.310448,5.23014579,10.3500839,,4.1177517,4.61051817,9.91258834,,4.19367156,4.72951312,4.98099185,,4.18306996,4.04240052,4.79988533
4.03141057,3.56150411,9.64786559,,4.3483995,5.19073769,9.73767709,,4.72686012,4.82532778,5.66048118,,4.46820531,4.63529831,4.77988746
4.22323467,4.69051841,10.3983055,,3.78860871,3.91014809,9.02264468,,4.89458525,4.36646813,4.99503117,,3.91130005,3.35104573,3.98412525
4.5148143,5.2257571,10.7781886,,4.11452343,4.04246318,9.23176162,,4.38185235,4.23426759,5.50933053,,4.30268047,3.4097497,4.18015159
3.82797326,4.4498418,9.41307812,,4.25153846,5.3161638,9.71055775,,4.16659103,3.36504645,5.2394062,,4.37280159,4.64128302,4.6033861
4.36301184,4.91137385,10.5172272,,4.75040792,5.49137127,10.0236809,,4.30907748,4.73450987,4.80712752,,4.88141041,4.89225522,5.04638274
4.77695875,5.46655199,10.5710269,,4.21262798,4.09139085,9.59362752,,5.07460718,5.21577518,5.63826689,,4.36355396,3.57560775,4.56569099
4.79378424,5.65656611,10.838208,,3.48756657,3.69758339,8.6764024,,4.26284814,3.48957375,5.40671834,,3.58207359,3.03648345,3.57048238
4.3123644,4.84710627,10.8432693,,3.83074277,3.84862131,9.44233001,,4.05386895,3.30984093,4.50191377,,3.91716075,3.3129704,4.29856081
4.09796271,4.42180615,9.91919397,,3.82045597,4.394403,9.21993922,,4.27163554,3.29550596,4.6394443,,3.95329106,3.68477068,4.16028737
4.47486112,5.45278213,10.4942579,,4.58596872,5.99253064,9.72982141,,4.78743553,4.50681006,5.26763714,,4.73121402,5.29248213,4.70205636
4.61165507,5.07592324,10.2625412,,4.52245859,5.21602888,9.69874265,,4.62378465,3.60880056,5.44190003,,4.68096591,4.67672284,4.71083926
4.14601192,4.58472494,9.46269067,,4.10990746,5.4493905,9.34053837,,3.99933104,3.24108669,4.57552854,,4.23774912,4.85264112,4.3601279
3.97300552,5.01914704,10.395773,,4.46836164,4.51245204,9.69606373,,4.69378933,5.1405439,5.41528023,,4.6012871,3.94489812,4.65006278
4.38840264,5.24729632,9.95468682,,4.88523092,5.23810039,10.137151,,4.74609935,4.38004522,6.02015957,,4.99834136,4.68432448,5.07138627
4.18250334,4.16877922,10.394893,,3.9647798,4.16957608,9.63361157,,3.88136447,3.06644457,4.40713454,,4.11053636,3.49350708,4.53458457
4.58583582,4.83172808,9.84928674,,4.5913827,4.83113653,9.22240694,,4.435173,4.52612694,5.24216373,,4.6851053,4.32114007,4.21407446
4.4162438,5.43548305,10.1115881,,4.57320811,4.98026955,9.75061967,,4.05301922,3.07207582,4.45185874,,4.73797969,4.31060596,4.74650093
3.5916352,4.19757115,9.51570143,,3.93403094,3.91548694,9.14579757,,4.69197151,4.77614684,5.68382207,,4.03253445,3.33636896,4.03647088
4.10725612,4.39944726,9.4660102,,3.88117549,3.97774722,8.8291927,,3.58095905,3.01930233,4.30975479,,4.03528189,3.39856352,3.80718518
4.35979735,4.41662314,10.2341793,,3.70732128,4.65788866,8.79791957,,5.30448516,4.95442089,6.05500534,,3.79323566,4.01743881,3.7217259
4.13047299,4.6972517,10.1000193,,3.82806219,4.01175657,8.96211269,,4.41006725,4.27377076,4.66505743,,3.96860553,3.41283756,3.91295104
4.06637371,4.44953933,10.0831547,,3.90371585,4.25336966,8.98805767,,4.67640973,4.21150327,5.4863315,,3.99393799,3.71218828,3.89279459
4.46801329,4.84173316,10.4123096,,4.73695169,5.50562332,9.95270226,,4.18026586,3.30426511,4.67466969,,4.85594305,4.7952606,4.87247304
3.66742495,3.69992651,9.32834368,,4.16701946,5.263818,9.60759773,,4.54540854,4.8748716,5.10467302,,4.28035784,4.57720112,4.56315071
4.15288476,4.90068654,10.0332693,,3.97484403,3.90837587,8.98211531,,4.93388649,4.42248141,5.37909713,,4.11647374,3.39152723,4.01481529
3.90073169,4.7326333,9.49158589,,3.73363171,4.03749558,9.17499218,,4.16684447,2.96347469,5.2463532,,3.82229008,3.49434005,4.05899613
3.66972051,3.44841633,9.95943556,,4.11426716,4.77053911,9.45985038,,4.60896608,4.68336316,5.07445318,,4.25532029,4.12275826,4.43074567
4.44984945,5.67903727,10.6396393,,4.18701836,4.65824224,9.70345965,,4.22358573,4.53574556,4.98450919,,4.27249413,4.06470036,4.62819452
4.15641711,3.79734202,9.59152058,,4.30402156,4.47343458,9.15826457,,3.70090648,2.71668721,4.40257072,,4.44046208,3.79996218,4.08278028
4.34963268,5.39134303,10.341995,,3.88859347,3.77121793,9.26342315,,4.64130248,5.15778286,5.65492023,,3.97598595,3.18408026,4.21337147
4.5696034,5.37827095,10.5556508,,4.52535065,5.60261483,9.73108777,,4.52023041,4.16531117,5.20191183,,4.60740556,5.08086698,4.63232734
4.1577627,3.98366172,9.99107786,,4.41703864,5.17615359,9.34750136,,4.25053786,4.84318331,5.0306197,,4.4901175,4.50690588,4.26651203
4.09691297,4.91804821,9.6159755,,4.2086492,4.67129434,9.92714295,,3.99224475,3.07506516,4.2520502,,4.3156957,4.08388755,4.8279862
4.85120996,5.68561054,10.9366865,,4.52846843,5.19431885,9.56710707,,4.16683217,3.30061043,5.03259162,,4.64516428,4.58589819,4.46343298
3.41929721,3.56368788,9.19811255,,4.16908429,5.22070269,9.32249021,,4.57257463,4.35822368,4.71573451,,4.23846668,4.50348533,4.26662847
4.77838759,5.60464179,10.351468,,4.38020861,4.9200095,9.67557931,,4.69765778,4.54113258,5.85632609,,4.49294982,4.19927057,4.51365498
4.37350776,4.64324701,9.82735362,,4.47658598,4.61407065,9.39205703,,4.36524403,3.98424738,4.88084863,,4.60426964,4.02431826,4.38375075
3.78254654,3.9675598,9.37777421,,4.03660899,4.6853818,9.34787941,,4.35525858,4.03121487,5.6089107,,4.16186319,4.09070183,4.34293372
4.34375168,4.58922699,10.3988109,,4.14843301,4.61736986,9.83841532,,4.16759637,3.73798591,5.1216656,,4.27233127,3.96284218,4.75865217
4.15933631,4.69701064,10.0615882,,4.22586428,5.6913673,9.7365109,,3.90974094,3.70660164,4.60833761,,4.26245912,4.95684967,4.64353153
4.12893763,4.85984361,9.69131651,,4.51048975,5.04404822,9.97496444,,5.23033302,5.02678409,6.00105738,,4.65111219,4.53836489,4.96524106
4.14087601,4.5818162,9.87704449,,3.75258069,4.07053128,9.12945077,,4.34110112,3.86173372,5.06146645,,3.89158022,3.51291837,4.12503169
4.48707058,4.79732707,10.8131188,,3.91182777,3.75711804,9.37579161,,4.30157829,3.61911007,4.7118136,,4.07392929,3.08602124,4.26662573
4.11090319,4.0819114,9.9000068,,4.16885533,4.32586612,8.94784037,,4.32094699,3.52824523,5.52877442,,4.33819246,3.61458392,3.88699532
4.57297022,4.84168121,10.9751904,,3.67725947,4.06366041,8.74172615,,4.85735562,5.22522351,5.43863689,,3.81835458,3.41402247,3.67251139
4.73860772,5.65178349,10.5989449,,4.61861279,4.89352965,10.0034283,,4.27407449,4.0580211,4.79956533,,4.71429864,4.3803293,5.05688371
3.77177543,3.932113,9.42494404,,4.49255705,4.98040181,9.51836594,,4.03910451,3.37822323,4.67150676,,4.57241353,4.42607131,4.52580355
3.89021408,3.96081549,10.0304465,,4.18155103,5.75502881,9.41993309,,4.00455273,3.66004242,4.82986179,,4.26126998,5.20792023,4.36769924
4.34592131,4.73573222,9.77567015,,4.77354968,4.92387953,9.58641483,,4.40826513,4.0276166,5.09616936,,4.8853622,4.38523524,4.58103462
4.73748726,5.40583691,10.0674171,,4.53196169,5.15712086,9.882127,,4.45567595,4.48098478,5.20323823,,4.66767584,4.65062671,4.85477368
4.71077915,4.93709222,10.5465384,,3.80281693,4.04819575,9.21542733,,4.49280302,4.11040137,5.44203188,,3.94939802,3.40434494,4.2018457
4.04828574,4.59668151,10.3840396,,3.9133161,4.71517428,9.03567844,,4.46278046,3.86580595,5.70315694,,4.00027461,4.03858422,3.96814485
4.20474078,4.98623124,9.9830208,,4.24930345,4.4062879,9.34720128,,4.29076285,4.09135267,4.91979896,,4.3589882,3.89186993,4.29154913
3.69605731,4.15361742,9.44720686,,4.39528024,5.78563029,10.0539671,,4.15396649,3.99773103,4.54979647,,4.4939561,5.16002768,5.0344217
4.02580979,3.99251126,10.2157175,,3.94299143,4.95167119,9.2295874,,4.43672554,4.77798239,4.87547124,,4.06925186,4.29524989,4.21883725
3.98139169,4.10707053,9.64758292,,4.34237685,4.49787593,9.38228785,,4.49222817,4.12403195,4.83531209,,4.48230029,3.88785552,4.33966576
4.18843486,5.02396589,9.92096284,,4.0840376,5.00202117,9.61218794,,4.41209473,4.40829546,5.60780686,,4.19995151,4.29880513,4.55949454
4.40993841,4.16094478,10.5464625,,3.73011957,3.71687493,8.7477228,,4.65248027,4.7122909,5.21179137,,3.80635147,3.05652182,3.61928696
4.02680431,3.84364648,10.1852991,,4.9466495,5.59341587,10.1464039,,4.0727497,3.43783492,4.80157853,,5.04071795,5.05432921,5.1725771
4.51716438,4.748728,10.5512365,,4.65005802,5.58277571,9.96500384,,4.24056339,3.90828724,5.47508832,,4.75742711,4.85986184,4.90726902
4.59949188,4.66752343,10.2260451,,3.44341148,3.3544362,8.75610466,,4.6525781,4.91833209,5.11045887,,3.54255692,2.79108816,3.64920901
4.68933247,5.94855922,10.309408,,4.15659079,4.21335417,9.11764104,,5.07942798,4.84761005,5.7693936,,4.2793579,3.71831035,4.04798018
4.38033331,6.12708982,10.534489,,4.47387747,4.70026458,9.75134132,,4.37514666,3.99958296,5.40618055,,4.62837929,4.18257205,4.75505006
3.88423206,4.35804957,9.83894404,,4.39005155,4.75429151,8.93843695,,4.5143881,3.73472168,5.32753255,,4.54382663,4.08210621,3.97190852
3.90857839,3.85170922,10.0605747,,4.03908847,3.95600526,9.07437702,,4.96487717,4.77734525,5.58997505,,4.17583051,3.3229588,3.96672362
