New Haven High Demand,,,,Fresno High Demand,,,,Atlanta High Demand,,,,Miami High Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
3.82187881,4.03384032,3.82162622,,3.857799,3.89239646,3.49691031,,3.80555012,2.76403201,2.36132288,,4.06226314,3.40843152,2.38797119
3.62612884,4.70223434,3.87639479,,3.71193165,3.56677103,3.42071038,,4.34145387,4.81843473,2.89401233,,3.92067314,3.19992363,2.28952674
3.57187713,3.43429857,3.78796514,,3.54916992,3.56157449,3.35057815,,3.98632357,3.36632773,2.60880683,,3.74030607,3.10639709,2.21054896
4.10429288,4.9710745,4.10988757,,3.88575762,5.04091859,3.6947105,,3.65268771,3.05622277,2.58950295,,4.0689451,4.60976725,2.67926463
3.63103678,3.03673094,3.63420988,,3.95983361,4.91462946,3.57413824,,3.75570274,3.18143793,2.37972636,,4.14453635,4.47392429,2.61162724
3.74022621,4.32394933,3.83821629,,3.9693759,4.79634635,3.73694467,,3.99587128,3.67912339,2.80096452,,4.14929515,4.34364027,2.74695752
3.51620307,3.40656637,3.70246084,,3.59528903,3.92588098,3.51279043,,4.09364473,3.13740546,2.70345423,,3.780705,3.46538946,2.4029355
3.7454272,3.88817366,3.78262818,,3.75135479,3.5839883,3.4985552,,4.10204366,3.1391762,2.40220294,,3.93340161,3.15745804,2.40826221
3.95500124,4.44142456,3.95123924,,3.79087599,3.83922595,3.3849608,,3.71308942,2.52118071,2.49551669,,3.99569019,3.41718414,2.33748219
3.51030022,3.55806706,3.80914364,,3.46508801,3.80714836,3.41767121,,3.89041358,3.18674145,2.39433149,,3.64049702,3.3203084,2.34747802
3.75449322,3.74348265,3.7209448,,4.2721911,4.90232472,3.79849857,,3.71020785,2.95380015,2.31748375,,4.46495759,4.51495117,2.84405763
3.88645945,4.55038665,3.84166835,,3.25291679,3.24074067,3.48936129,,4.32604811,4.14811084,2.97864183,,3.39869398,2.88513268,2.39517663
3.36511165,3.65309471,3.65141528,,3.49205213,2.96694654,3.45565648,,4.43097288,4.30394701,3.10460641,,3.66875986,2.5852136,2.31512932
4.03685925,4.37137753,4.22463351,,3.15873528,2.92641689,3.30604685,,4.69672801,4.08687873,2.88847362,,3.32390651,2.53282984,2.13091201
3.84059763,4.38818937,3.92935021,,3.58984905,4.73322078,3.64081144,,3.66496319,3.05489059,2.53306846,,3.75268712,4.33609954,2.57379891
3.46180474,3.63176167,3.58695466,,3.66975507,4.26436233,3.6096015,,3.99799557,3.01526341,2.40476493,,3.82571378,3.7655633,2.56459936
3.35222819,3.51438602,3.75123256,,3.60555907,3.09858228,3.51677828,,4.54389045,4.44310282,2.9260487,,3.77431339,2.73593,2.36547762
3.92132702,4.29478161,4.02363061,,3.744798,3.80359445,3.50321863,,4.37336556,3.56922674,2.75556671,,3.94438303,3.43972621,2.42708144
4.28404334,4.01039555,3.98789952,,3.36887117,3.93834332,3.36510531,,4.11374094,3.78578768,2.75841348,,3.53524202,3.45692544,2.21373712
4.01232871,3.56917935,3.66037604,,3.59119395,3.53395815,3.31911207,,4.15201812,4.5651591,3.0013779,,3.80674091,3.16134633,2.17245775
3.88137714,4.84756055,3.85779262,,4.18855588,5.18128489,3.83923895,,4.04041339,3.83956085,2.74922389,,4.38939815,4.73224395,2.83559853
4.2329386,4.16960214,4.0085712,,4.01056234,3.80078963,3.6410269,,4.09324669,3.45751984,2.71985105,,4.20682915,3.44163145,2.59051086
3.86819849,4.9785988,3.85685818,,3.33676671,3.36202888,3.18159408,,3.48957633,2.5743241,2.49901647,,3.52995697,2.86893366,1.9998219
3.95929218,5.49766703,4.20606193,,3.35495772,3.31227423,3.40518622,,3.32106076,2.41112077,2.25529203,,3.54048599,2.87082964,2.25011577
3.51740938,3.68455028,3.92583908,,3.84694153,4.5263453,3.59853365,,3.81017188,3.58784521,2.64329441,,4.0420404,4.17350923,2.52743267
4.13879942,4.9282919,4.05033336,,3.510211,3.37721638,3.39830085,,3.80854493,2.83921821,2.6025174,,3.68828354,2.98694521,2.26843753
3.69830092,3.98665609,3.8071244,,3.70282343,4.45413249,3.41091567,,3.97208297,3.71256562,2.6708288,,3.89684411,3.94680237,2.30569755
3.49888423,3.34151476,3.60667311,,3.22293783,3.26631908,3.35667857,,4.17537425,3.43921639,2.57835258,,3.37216445,2.76093732,2.23759132
3.54784644,4.35557316,3.85817139,,4.07092951,4.25088418,3.78828081,,4.35243876,3.96512103,2.79555501,,4.25987856,3.91156703,2.84634221
3.26045089,3.37165858,3.76356461,,3.85087373,4.10815874,3.54203567,,3.92817279,3.98244132,2.79838264,,4.05551975,3.65143402,2.52326107
3.67119923,4.4861604,3.98637242,,3.41893505,3.50525377,3.38927085,,3.65971414,3.34038076,2.52571786,,3.61325026,3.04016344,2.23462481
3.87571394,4.14204486,3.84987123,,4.27014244,5.07524361,3.77036014,,3.91967925,3.46678546,2.70944954,,4.48000955,4.70059838,2.74465745
3.6296225,3.44186988,3.57003776,,3.97751068,4.14156132,3.53526035,,4.15067172,2.77994871,2.58318342,,4.16905366,3.73750595,2.54668435
3.98213729,3.93987791,3.71580274,,3.58425224,3.81618819,3.53147443,,3.7804402,2.76440618,2.49779444,,3.75567664,3.3755555,2.4464262
4.02501406,4.72519265,4.07900048,,4.14614926,4.80519682,3.73297267,,4.23726426,3.02833157,2.48755879,,4.34864251,4.30468215,2.69341232
3.76270278,4.07324541,3.68081457,,3.11160179,3.18275892,3.23849635,,3.49187503,3.21479926,2.53586836,,3.27382932,2.79430887,2.09856863
